,All,168,88,18,2,,,276,61%,32%,7%,1%,,,,,,,,,,,,,
,"£30,001 to £40,000",0,0,2,15,11,10,5,3,3,0,5.97,5:58.469387755102,49,0%,0%,4%,31%,22%,20%,10%,6%,6%,0%,
,"£40,001 to £50,000",0,3,6,15,15,13,9,6,2,1,5.90,5:54.1304347826087,70,0%,4%,9%,21%,21%,19%,13%,9%,3%,1%,
,"£50,001 to £75,000",2,2,9,27,24,20,11,6,1,1,5.82,5:48.9,103,2%,2%,9%,26%,23%,19%,11%,6%,1%,1%,
,"£75,001 to £100,000",1,3,4,14,18,23,12,6,2,1,6.01,6:0.365853658536572,84,1%,4%,5%,17%,21%,27%,14%,7%,2%,1%,
,"£100,001 to £125,000",0,0,3,7,11,7,9,6,4,1,6.24,6:14.3617021276596,48,0%,0%,6%,15%,23%,15%,19%,13%,8%,2%,
,"Over £125,000",0,0,0,2,7,6,10,2,1,0,6.36,6:21.4285714285714,28,0%,0%,0%,7%,25%,21%,36%,7%,4%,0%,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Child Age,Before 4pm,16:00 - 16:30,16.30 - 17:00,17:00 - 17:30,17.30 - 18:00,18:00 - 18:30,18.30 - 19:00,19:00 - 19:30,19.30 - 20:00,20:00 or after,Average Meal time,,Total,,Before 4pm,16:00 - 16:30,16.30 - 17:00,17:00 - 17:30,17.30 - 18:00,18:00 - 18:30,18.30 - 19:00,19:00 - 19:30,19.30 - 20:00,20:00 or after
,4 or younger,1,5,12,42,37,24,12,3,1,0,5.7,5:40.5882352941177,137,4 or younger,1%,4%,9%,31%,27%,18%,9%,2%,1%,0%
,5,1,5,8,28,22,21,16,12,6,1,6.0,5:58.728813559322,120,5,1%,4%,7%,23%,18%,18%,13%,10%,5%,1%
,6,1,3,3,20,28,15,10,5,1,2,5.9,5:51.7058823529412,88,6,1%,3%,3%,23%,32%,17%,11%,6%,1%,2%
,7,1,3,6,15,16,18,13,7,7,3,6.1,6:5.11764705882351,89,7,1%,3%,7%,17%,18%,20%,15%,8%,8%,3%
,8,1,4,9,20,23,22,10,2,1,1,5.8,5:45.6593406593407,93,8,1%,4%,10%,22%,25%,24%,11%,2%,1%,1%
,9,0,3,3,7,14,14,7,4,2,0,6.0,5:59.4444444444444,54,9,0%,6%,6%,13%,26%,26%,13%,7%,4%,0%
,10,0,1,2,3,5,13,11,1,0,1,6.1,6:8.33333333333336,37,10,0%,3%,5%,8%,14%,35%,30%,3%,0%,3%
,11,0,2,4,13,10,10,7,5,3,1,6.0,5:58.3333333333333,55,11,0%,4%,7%,24%,18%,18%,13%,9%,5%,2%
,12,0,0,1,6,6,9,10,2,0,0,6.1,6:8.82352941176473,34,12,0%,0%,3%,18%,18%,26%,29%,6%,0%,0%
,13,0,2,4,12,11,13,7,8,7,2,6.2,6:9.84375,66,13,0%,3%,6%,18%,17%,20%,11%,12%,11%,3%
,14,1,1,5,5,2,10,3,2,1,0,5.9,5:53.2758620689655,30,14,3%,3%,17%,17%,7%,33%,10%,7%,3%,0%
,15,0,0,2,5,6,8,4,3,2,1,6.2,6:9.00000000000002,31,15,0%,0%,6%,16%,19%,26%,13%,10%,6%,3%
,16 or older,0,0,1,8,9,10,5,6,5,2,6.3,6:17.7272727272728,46,16 or older,0%,0%,2%,17%,20%,22%,11%,13%,11%,4%
