Full Name,Average Prep Time,Perceived to be time consuming,Wishlist,I don't have time to make it
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Full Name,Time Taken (This dish takes longer than X),%Want to eat but it time Consuming (Time as barrier for not having/Respondents who wishlisted),Wishlist,
Pizza,16.13,28.57%,14,
"Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese)",21.56,40.00%,5,
"Baked Pasta (e.g. Chicken, Tuna, Tomato)",25.40,21.43%,14,
Lasagne,36.79,34.15%,41,
"Filled Pasta (e.g. Raviolli, Tortellini)",18.34,10.53%,19,
Risotto,29.82,18.18%,44,
Gnocchi,19.64,10.53%,19,
"Meat & vegetables (e.g. Roast, Grilled, Breaded)",33.90,11.76%,17,
"Burger & Chips (e.g. Beef, Chicken, Veggie)",24.34,13.04%,23,
Fish & chips ,18.77,19.05%,21,
"Meat & Chips (e.g. Steak, Chicken)",28.20,5.26%,19,
Sausage & mash,24.59,0.00%,17,
Jacket potato,23.23,17.24%,29,
Cottage/Shepherd's/Fish Pie,34.58,22.73%,44,
Casserole / Stew,39.77,20.00%,15,
"Pastry Pie (e.g. Chicken, Steak, Beef, Veggie)",30.02,31.25%,32,
Sandwich / Toastie,12.99,14.29%,7,
Soup,24.88,7.14%,28,
"Curry & Rice (e.g. Tikka, korma, butter chicken)",28.67,6.25%,16,
Stir fry / Noodles,20.55,7.14%,14,
"Chicken (e.g. Sweet & Sour, Sweet Chilli)",25.53,0.00%,3,
Rice bowl / fried rice,22.29,70.00%,10,
Katsu Curry,27.79,23.33%,30,
"Thai Curry (e.g. Red, Green, Massaman)",28.33,6.00%,50,
Thai Noodles (e.g. Pad Thai),23.43,14.29%,35,
Ramen,21.91,23.08%,26,
Fajitas / Burritos,24.26,0.00%,16,
"Chilli & Rice (e.g. Con Carne, 3-Bean)",30.26,0.00%,15,
Tacos / Enchiladas / Quesadillas,26.83,0.00%,26,
Piri-piri / Peri Peri,25.50,0.00%,18,
Cajun Chicken,26.94,34.78%,23,
Cous Cous,17.17,31.25%,16,
Jerk Chicken,33.58,13.64%,22,
Paella,31.64,10.26%,39,
Stroganoff,31.74,25.00%,24,
Tagine,36.39,0.00%,29,
