bucket,zones,repeat_rate,repeat_rate_n,avg_rating,avg_rating_n,order_volume,kids_happy,kids_happy_n,liked_loved,liked_loved_n,enough_food,enough_food_n,food_hot,food_on_time,filter_applied,data_source_behavioral,data_source_survey
3-4,14,20.9%,6179,4.24,1039,365.8,84.0%,41,83.3%,109,75.7%,109,66.6%,76.9%,Only zones with 3+ partners AND 3+ cuisines,Snowflake,Post-order survey
4-5,15,21.6%,8669,4.36,1690,493.2,61.3%,76,89.0%,147,75.8%,147,58.3%,88.1%,Only zones with 3+ partners AND 3+ cuisines,Snowflake,Post-order survey
5-6,24,22.3%,13109,4.40,2521,476.4,67.3%,103,86.9%,247,81.0%,247,63.0%,83.7%,Only zones with 3+ partners AND 3+ cuisines,Snowflake,Post-order survey
6+,41,20.0%,21064,4.44,4123,421.9,76.3%,185,88.0%,418,76.2%,418,73.1%,88.2%,Only zones with 3+ partners AND 3+ cuisines,Snowflake,Post-order survey

