,Item Categorisation,,,,,,,,,,,,,,,,,,,,,,,,
1,Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,Asian,Fried Rice,Special Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
0,Asia Villa,4x  Asia Villa Special Fried Rice with Salt and Pepper Chicken,Asian,Fried Rice,Special Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Itsu,hot faves family bundle,Asian,Katsu,Katsu,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,TUK TUK-SGroup,Sweet and Sour Chicken & Egg Fried Rice,Asian,Fried Rice,Sweet & Sour Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
0,TUK TUK-SGroup,Sweet and Sour “MOCK Chicken” & Egg Fried Rice,Asian,Fried Rice,Sweet & Sour Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Chicken Fried Rice Family Meal (Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken),Asian,Fried Rice,Stir-Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Chicken Fried Rice Family Meal ( Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken),Asian,Fried Rice,Stir-Fried Rice,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,atis,Build Your Own Family Feast,Healthy,Grain Bowl,Grain Bowl,"Chicken, Tofu",,,,Chicken,Tofu,,,,,,,,,,,,,,
1,atis,Chicken Family Feast,Healthy,Grain Bowl,Grain Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,atis,Tofu Family Feast,Healthy,Grain Bowl,Grain Bowl,Tofu,,,,Tofu,,,,,,,,,,,,,,,
1,Farmer J,Family Chicken Dinner,Healthy,Grain Bowl,Grain Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Farmer J,Mix & Match Family Dinner,Healthy,Grain Bowl,Grain Bowl,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Farmer J,Family Veggie Dinner,Healthy,Grain Bowl,Grain Bowl,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Remedy Kitchen,Salmon Dinneroo Platter,Healthy,Grain Bowl,Grain Bowl,Salmon,,,,Salmon,,,,,,,,,,,,,,,
1,Remedy Kitchen,The Remedy Dinneroo Platter,Healthy,Grain Bowl,Grain Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Remedy Kitchen,The Filler Dinneroo Platter,Healthy,Grain Bowl,Grain Bowl,Sweet Potato,,,,Sweet Potato,,,,,,,,,,,,,,,
1,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,Middle Eastern,Grain Bowl,Shawarma,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Yacob's Kitchen,Falafel Dinneroo Platter,Middle Eastern,Grain Bowl,Grain Bowl,Falafel,,,,Falafel,,,,,,,,,,,,,,,
1,Yacob's Kitchen,Vegan Dinneroo Platter,Middle Eastern,Grain Bowl,Grain Bowl,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Asian,Katsu,Katsu,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Iro Sushi,Katsu Family Feast,Asian,Katsu,Katsu,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Itsu,hot faves family bundle,Asian,Noodles,"Korean Noodles, Teriyaki Noodles, Noodle Soup",Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Kokoro,Kokoro Family Bundle,Asian,Katsu,Katsu,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Kokoro,Kokoro Family Bundle,Asian,Noodles,"Teriyaki Noodles, Sweet Chilli Noodles, Sweet Sour Noodles, Korean Chilli Noodles",Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Wagamama,family chicken katsu,Asian,Katsu,Katsu,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Wagamama,family yasai katsu,Asian,Katsu,Katsu,"Sweet Potato, Aubergine & Squash",,,,Sweet Potato,Aubergine & Squash,,,,,,,,,,,,,,
1,Zumuku,Chicken or Tofu Katsu Curry,Asian,Katsu,Katsu,"Chicken, Tofu",,,,Chicken,Tofu,,,,,,,,,,,,,,
1,Zumuku Sushi,Chicken Katsu Curry,Asian,Katsu,Katsu,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Bella Italia,Lasagne Family Bundle,Italian,Lasagne,Lasagne,Beef,,,,Beef,,,,,,,,,,,,,,,
1,Cacciari's,Lasagna Suitable for a Family of 4,Italian,Lasagne,Lasagne,Beef,,,,Beef,,,,,,,,,,,,,,,
1,SOYO-SGroup,Family Roasted Vegetable lasagne,Italian,Lasagne,Lasagne,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Tula Ireland,Family Quesadilla Dinneroo Feast,Mexican,Quesadilla,Quesadilla,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Zambrero UK,Family Nachos Kit,Mexican,Nachos,Nachos,"Beef, Chicken",,,,Beef,Chicken,,,,,,,,,,,,,,
1,Asia Villa,4x Traditional Chow Mein with Sweet Chili Chicken,Asian,Noodles,Chow Mein,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Asia Villa,4x Family Style Phad Thai with Korean Chicken,Asian,Noodles,Pad Thai,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Asia Villa,4x Family Style Egg Fried Noodle with Korean Chicken,Asian,Noodles,Egg Fried Noodles,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Asia Villa,4x  Family Style Phad Thai with Sweet Chilli Chicken,Asian,Noodles,Pad Thai,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Banana Tree,🍜Pad Thai Bundle For Four🍜,Asian,Noodles,Pad Thai,"Chicken, Tofu, Prawn",,,,Chicken,Tofu,Prawn,,,,,,,,,,,,,
1,Iro Sushi,Veggie Wok Party,Asian,Noodles,Yakisoba,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Las Iguanas,Mixed Bundle For Four,Mexican,Fajitas,Fajitas,"Mushroom, Chicken, Prawn",,,,Mushroom,Chicken,Prawn,,,,,,,,,,,,,
1,Milano,Family Favourites Feast,Italian,Pasta,"Lasagne, Penne","Beef, Chicken, Tomato",,,,Beef,Chicken,Tomato,,,,,,,,,,,,,
1,Pho,Fresh from the wok,Asian,Fried Rice,Wok-Fried Rice,Chicken,Note: Multiple options for kids,,,Chicken,Mushroom,,,,,,,,,,,,,,
1,SOYO-SGroup,Family Rice noodles stir fried,Asian,Noodles,Rice Noodles,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Ting Thai,Pad Thai Family Meal,Asian,Noodles,Pad Thai,"Chicken, Beef, Prawn",,,,Chicken,Beef,Prawn,,,,,,,,,,,,,
