,East Asian Curry,Yellow Curry,1,,,,,,,,,,,,,,,,,,,,,,
,East Asian Curry,Raisukare Curry,1,,,,,,,,,,,,,,,,,,,,,,
,Fried Rice,Special Fried Rice,1,,,,,,,,,,,,,,,,,,,,,,
,Fried Rice,Wok-Fried Rice,1,,,,,,,,,,,,,,,,,,,,,,
,Fried Rice,Sweet & Sour Fried Rice,1,,,,,,,,,,,,,,,,,,,,,,
,Grain Bowl,Shawarma,1,,,,,,,,,,,,,,,,,,,,,,
,Quesadilla,Quesadilla,1,,,,,,,,,,,,,,,,,,,,,,
,Nachos,Nachos,1,,,,,,,,,,,,,,,,,,,,,,
,Noodles,Chow Mein,1,,,,,,,,,,,,,,,,,,,,,,
,Noodles,Egg Fried Noodles,1,,,,,,,,,,,,,,,,,,,,,,
,Noodles,"Korean Noodles, Teriyaki Noodles, Noodle Soup",1,,,,,,,,,,,,,,,,,,,,,,
,Noodles,"Teriyaki Noodles, Sweet Chilli Noodles, Sweet Sour Noodles, Korean Chilli Noodles",1,,,,,,,,,,,,,,,,,,,,,,
,Noodles,Rice Noodles,1,,,,,,,,,,,,,,,,,,,,,,
,Other,Maqluba,1,,,,,,,,,,,,,,,,,,,,,,
,Other,Chicken Wings,1,,,,,,,,,,,,,,,,,,,,,,
,Other,Mezze,1,,,,,,,,,,,,,,,,,,,,,,
,Pasta,"Lasagne, Mac & Cheese, Rigatoni, Alfredo",1,,,,,,,,,,,,,,,,,,,,,,
,Pasta,Rose Pasta,1,,,,,,,,,,,,,,,,,,,,,,
,Pasta,Bolognese,1,,,,,,,,,,,,,,,,,,,,,,
,Pasta,"Rigatoni, Carbonara",1,,,,,,,,,,,,,,,,,,,,,,
,Pho,Pho,1,,,,,,,,,,,,,,,,,,,,,,
,Poke,Poke,1,,,,,,,,,,,,,,,,,,,,,,
,Rice Bowl,"Teriyaki Rice Bowl, Sweet Chilli Rice Bowl, Sweet & Sour Rice Bowl, Korean Chilli Rice Bowl",1,,,,,,,,,,,,,,,,,,,,,,
,Shepherd's Pie,Shepherd's Pie,1,,,,,,,,,,,,,,,,,,,,,,
,South Asian / Indian Curry,Tikka Masala Curry,1,,,,,,,,,,,,,,,,,,,,,,
,South Asian / Indian Curry,Aloo Mutter Curry,1,,,,,,,,,,,,,,,,,,,,,,
,Sushi,Sushi,1,,,,,,,,,,,,,,,,,,,,,,
,,,151,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,By Protein / Vegetable,,,,,,,,,,,,,,,,,,,,,,,,
,Note won't add up to 157 because single dishes have between 0 and 4 proteins,,,,,,,,,,,,,,,,,,,,,,,,
,Protein / Vegetable Alternative,Number of Dishes,,,,,,,,,,,,,,,,,,,,,,,
,Chicken,96,,,,,,,,,,,,,,,,,,,,,,,
,Beef,27,,,,,,,,,,,,,,,,,,,,,,,
,Pork,12,,,,,,,,,,,,,,,,,,,,,,,
,Duck,2,,,,,,,,,,,,,,,,,,,,,,,
,Prawn,10,,,,,,,,,,,,,,,,,,,,,,,
,Salmon,4,,,,,,,,,,,,,,,,,,,,,,,
,Vegetarian,73,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Tofu,13,,,,,,,,,,,,,,,,,,,,,,,
,Tomato,10,,,,,,,,,,,,,,,,,,,,,,,
,Mushroom,11,,,,,,,,,,,,,,,,,,,,,,,
,Paneer,4,,,,,,,,,,,,,,,,,,,,,,,
,Falafel,4,,,,,,,,,,,,,,,,,,,,,,,
,Sweet Potato & Squash,3,,,,,,,,,,,,,,,,,,,,,,,
,Sweet Potato,2,,,,,,,,,,,,,,,,,,,,,,,
,Halloumi,2,,,,,,,,,,,,,,,,,,,,,,,
,Black Bean,2,,,,,,,,,,,,,,,,,,,,,,,
,Jackfuit,1,,,,,,,,,,,,,,,,,,,,,,,
,Cauliflower,1,,,,,,,,,,,,,,,,,,,,,,,
,PB Chicken,1,,,,,,,,,,,,,,,,,,,,,,,
,Tofu & Grilled Veg,1,,,,,,,,,,,,,,,,,,,,,,,
,Aubergine & Squash,1,,,,,,,,,,,,,,,,,,,,,,,
,Red Pepper,1,,,,,,,,,,,,,,,,,,,,,,,
,Vegetarian,16,,,,,,,,,,,,,,,,,,,,,,,
,,281,,,,,,,,,,,,,,,,,,,,,,,
,Meat Only,151,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Analysis by Zone,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of Dishes,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Average in zones with 3+ cuisines,31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of Dishes,Number of Zones,% of Zones,,,,,,,,,,,,,,,,,,,,,,
<10,<10,4,1%,,,,,,,,,,,,,,,,,,,,,,
<15,10-15,35,11%,,,,,,,,,,,,,,,,,,,,,,
<20,15-20,55,18%,,,,,,,,,,,,,,,,,,,,,,
<25,20-25,50,16%,,,,,,,,,,,,,,,,,,,,,,
<30,25-30,26,8%,,,,,,,,,,,,,,,,,,,,,,
<35,30-35,28,9%,,,,,,,,,,,,,,,,,,,,,,
<40,35-40,36,11%,,,,,,,,,,,,,,,,,,,,,,
<45,40-45,21,7%,,,,,,,,,,,,,,,,,,,,,,
<50,45-50,14,4%,,,,,,,,,,,,,,,,,,,,,,
>=50,>50,45,14%,,,,,,,,,,,,,,,,,,,,,,
,,314,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Dishes by Cuisine,,,,,,,,,,,,,,,,,,,,,,,,
,,Cuisine,,,,,,,,,,,,,,,,,,,,,,,
,,Asian,Italian,Indian,Healthy,Mexican,Middle Eastern,British,,,,,,,,,,,,,,,,,
,Number of Zones,312,306,83,74,139,157,134,,,,,,,,,,,,,,,,,
,% of Zones,99%,97%,26%,24%,44%,50%,43%,,,,,,,,,,,,,,,,,
,Average Number of Dishes,14,9,1,2,2,2,0,,,,,,,,,,,,,,,,,
,Average Number of Dishes in Zones with >0 Dish,14,9,5,6,5,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Dishes by Dish Type,,,,,,,,,,,,,,,,,,,,,,,,
,,Dishes,,,,,,,,,,,,,,,,,,,,,,,
,,Rice Bowl,Pasta,Grain Bowl,Noodles,South Asian / Indian Curry,East Asian Curry,Katsu,Biryani,Pizza,Fried Rice,Protein & Veg ,Chilli,Fajitas,Lasagne,Other,Shawarma,Tacos,Burrito / Burrito Bowl,Quesadilla,Nachos,Pho,Poke,Shepherd's Pie,Sushi
,Number of Zones,276,306,74,248,83,306,297,65,300,182,22,100,100,107,11,134,51,51,4,47,164,115,134,115
,% of Zones,88%,97%,24%,79%,26%,97%,95%,21%,96%,58%,7%,32%,32%,34%,4%,43%,16%,16%,1%,15%,52%,37%,43%,37%
,Average Number of Dishes,2.9,6.6,1.7,2.0,0.9,4.2,3.2,0.4,2.3,0.7,0.2,1.0,1.0,0.4,0.1,1.3,0.2,0.2,0.0,0.1,0.5,0.4,0.4,0.4
,Average Number of Dishes in Zones with >0 Dish,3.3,6.8,7.2,2.5,3.4,4.3,3.4,2.2,2.4,1.2,2.7,3.0,3.0,1.0,1.5,3.0,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,
,Dish by Cuisine,,,,,,,,,,,,,,,,,,,,,,,,
,,Protein,,,,,,,,,,,,,,,,,,,,,,,
,,Chicken,Beef,Pork,Duck,Salmon,Prawn,,,,,,,,,,,,,,,,,,
,Number of Zones,314,312,302,19,119,201,,,,,,,,,,,,,,,,,,
,% of Zones,100%,99%,96%,6%,38%,64%,,,,,,,,,,,,,,,,,,
,Average Number of Dishes,18,6,3,0,1,2,,,,,,,,,,,,,,,,,,
,Average Number of Dishes in Zones with >0 Dish,18,7,3,1,2,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Harpasted,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,% of Zones,,Average Number of Dishes in Zones with >0 Dish,,,,,,,,,,,,,,,,,,,,,
,Asian,99%,,14,,,,,,,,,,,,,,,,,,,,,
,Italian,97%,,9,,,,,,,,,,,,,,,,,,,,,
,Middle Eastern,50%,,3,,,,,,,,,,,,,,,,,,,,,
,Mexican,44%,,5,,,,,,,,,,,,,,,,,,,,,
,British,43%,,1,,,,,,,,,,,,,,,,,,,,,
,Indian,26%,,5,,,,,,,,,,,,,,,,,,,,,
,Healthy,24%,,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,% of Zones,,Average Number of Dishes in Zones with >0 Dish,Average Number of Dishes in Zones with >0 Dish,,,,,,,,,,,,,,,,,,,,
,Pasta,97%,,7,,,,,,,,,,,,,,,,,,,,,
,East Asian Curry,97%,,4,,,,,,,,,,,,,,,,,,,,,
,Pizza,96%,,2,,,,,,,,,,,,,,,,,,,,,
,Katsu,95%,,3,,,,,,,,,,,,,,,,,,,,,
,Rice Bowl,88%,,3,,,,,,,,,,,,,,,,,,,,,
,Noodles,79%,,3,,,,,,,,,,,,,,,,,,,,,
,Fried Rice,58%,,1,,,,,,,,,,,,,,,,,,,,,
,Pho,52%,,1,,,,,,,,,,,,,,,,,,,,,
,Shawarma,43%,,3,,,,,,,,,,,,,,,,,,,,,
,Shepherd's Pie,43%,,1,,,,,,,,,,,,,,,,,,,,,
,Poke,37%,,1,,,,,,,,,,,,,,,,,,,,,
,Sushi,37%,,1,,,,,,,,,,,,,,,,,,,,,
,Lasagne,34%,,1,,,,,,,,,,,,,,,,,,,,,
,Chilli,32%,,3,,,,,,,,,,,,,,,,,,,,,
,Fajitas,32%,,3,,,,,,,,,,,,,,,,,,,,,
,South Asian / Indian Curry,26%,,3,,,,,,,,,,,,,,,,,,,,,
,Grain Bowl,24%,,7,,,,,,,,,,,,,,,,,,,,,
,Biryani,21%,,2,,,,,,,,,,,,,,,,,,,,,
,Tacos,16%,,1,,,,,,,,,,,,,,,,,,,,,
,Burrito / Burrito Bowl,16%,,1,,,,,,,,,,,,,,,,,,,,,
,Nachos,15%,,1,,,,,,,,,,,,,,,,,,,,,
,Protein & Veg ,7%,,3,,,,,,,,,,,,,,,,,,,,,
,Other,4%,,2,,,,,,,,,,,,,,,,,,,,,
,Quesadilla,1%,,1,,,,,,,,,,,,,,,,,,,,,
