,Top Items by Rx,,,,,,,
,,,,,,,,
,,,,,,,,
,Source,https://deliveroo.looker.com/explore/general/denormalised_items?qid=bOVMdZQRGnuvbnyvlrxHxe&toggle=fil,,,,,,
,,,,,,,,
,Salesforce Sf Global Brand,Menu items Menu Item Operational Name,Restaurant Information Restaurant Name,Key Fields Restaurant ID,"Common Business Segments Orders count (delivered, rejected, cancelled, et al.)",,,Dish
,Wagamama,family chicken katsu,Wagamama - Ealing - 186,3862,162,,,Katsu
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113003 - Banana Tree Thai, Vietnamese, Vegan - Battersea",474,157,,,Noodles
,Wagamama,family chicken katsu,Wagamama - Basingstoke - 129,41260,155,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Guildford - 120,11933,153,,,Katsu
,Pho,Pho the whole fam,Pho - Reading,60050,153,,,Pho
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,3113019 - Banana Tree Thai - Vietnamese - Vegan - Salford Quays,612279,153,,,Rice Bowl
,Pho,Pho the whole fam,Pho - Fulham Broadway,592954,152,,,Pho
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - SWC,233073,152,,,Biryani
,Wagamama,family chicken katsu,Wagamama - Forest Hill Delivery Kitchen - 607,324903,151,,,Katsu
,Pho,Pho the whole fam,Pho - Norwich,638624,150,,,Pho
,Pho,Pho the whole fam,Pho - Lothian Road,672852,149,,,Pho
,Pho,Pho the whole fam,Pho - Baker Street,628352,149,,,Pho
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - WME,233074,149,,,Biryani
,Wagamama,family chicken katsu,Wagamama - Enfield Southbury Leisure Park - 263,228622,148,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Camberley - 171,78293,148,,,Katsu
,Pho,Pho the whole fam,Pho - Birmingham - High Street Harborne,690853,147,,,Pho
,Pho,Pho the whole fam,Pho - Battersea,475,146,,,Pho
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - DUL,394105,145,,,Biryani
,Pho,Pho the whole fam,Pho - Islington,280,144,,,Pho
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - WNW,315971,144,,,Biryani
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113015 - Banana Tree Thai, Vietnamese, Vegan - Birmingham Bullring",575907,143,,,Rice Bowl
,Wagamama,family chicken katsu,Wagamama - Bracknell - 243,173629,142,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Uxbridge - 217,41258,139,,,Katsu
,Pho,It's a curry night,Pho - Brighton,931,139,,,East Asian Curry
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113009 - Banana Tree Thai, Vietnamese, Vegan - Chelmsford",65811,138,,,Rice Bowl
,Farmer J,Family Chicken Dinner,Farmer J - Jubilee,98636,135,,,Grain Bowl
,Wagamama,family chicken katsu,Wagamama - Romford - 271,487722,134,,,Katsu
,Pho,Pho the whole fam,Pho - Borough,570029,133,,,Pho
,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,Jakob's Kitchen - Editions - CAN,634609,133,,,Grain Bowl
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Cambridge,273639,132,,,Rice Bowl
,Wagamama,family chicken katsu,Wagamama - Kingston - 110,12412,132,,,Katsu
,Dishoom,Chicken Berry Britannia – for the family,Dishoom - Editions - BRC,614147,132,,,Biryani
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113007 - Banana Tree Thai, Vietnamese, Vegan - Milton Keynes The Hub",19752,130,,,Noodles
,Wagamama,family chicken katsu,Wagamama - Bristol Clifton - 116,4951,129,,,Katsu
,Pho,It's a curry night,Pho - Bristol,20132,129,,,East Asian Curry
,Dishoom,Dishoom Mattar Paneer – for the family,Dishoom - Editions - ISL,275289,128,,,South Asian / Indian Curry
,Pho,Pho the whole fam,Pho - Stratford,3739,126,,,Pho
,Wagamama,family chicken katsu,Wagamama - Epsom - 289,620972,125,,,Katsu
,Cocotte,Family Feast One,Cocotte - South Kensington,354631,125,,,Protein & Veg 
,Wagamama,family chicken katsu,Wagamama - Colchester - 245,78296,123,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Westfield Stratford - 178,12424,123,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Battersea Power Station - 282,542813,123,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Brighton Central - 132,4296,123,,,Katsu
,Pho,Pho the whole fam,Pho - Glasgow,611327,121,,,Pho
,Pho,Pho the whole fam,Pho - Milton Keynes,560308,121,,,Pho
,Wagamama,family chicken katsu,Wagamama - St Albans - 117,17206,118,,,Katsu
,Pho,Pho the whole fam,Pho - York,482052,116,,,Pho
,Cocotte,Family Feast One,Cocotte - Hoxton,79083,116,,,Protein & Veg 
,Wagamama,family chicken katsu,Wagamama - Hampstead - 184,8315,115,,,Katsu
,Dishoom,Dishoom Mattar Paneer – for the family,Dishoom - Editions - BLW,275291,115,,,South Asian / Indian Curry
,Wagamama,family chicken katsu,Wagamama - Walton - 154,103333,115,,,Katsu
,Farmer J,Mix & Match Family Dinner,Farmer J - Hammersmith,640803,114,,,Grain Bowl
,Kricket,Butter Chicken,Kricket - Brixton,233845,114,,,South Asian / Indian Curry
,Pho,It's a curry night,Pho - Editions - DUL,409502,113,,,East Asian Curry
,Pho,Pho the whole fam,Pho - Bournemouth,503897,113,,,Pho
,Pho,It's a curry night,Pho - Kingston,48587,113,,,East Asian Curry
,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,Jacob's Kitchen - Editions - BYR (NEW),218677,113,,,Grain Bowl
,Pho,It's a curry night,Pho - York,482052,112,,,East Asian Curry
