,Top Items by Rx Zone,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,https://deliveroo.looker.com/explore/general/denormalised_items?qid=Ghs6zuJE4cqOFV4A0zCCRB&toggle=fil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Salesforce Sf Global Brand,Menu items Menu Item Operational Name,Location Zone Code,"Common Business Segments Orders count (delivered, rejected, cancelled, et al.)",Updated count,,,,Count dish,Ranked 1,,,Dish,Count dish type,Ranked 1,Ranked 2,Ranked 3,Ranked 4,Ranked 5,,,,,% Ranked 1,% Ranked 5
28,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,LEW,199,199.000028,2,2LEW,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
29,Ting Thai,Pad Thai Family Meal,EDC,188,188.000029,1,1EDC,,3,2,67%,,Noodles,143,3,9,11,12,18,,,,Noodles,2%,37%
30,Dishoom,Chicken Berry Britannia – for the family,CLA,188,188.00003,3,3CLA,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
31,Pho,Pho the whole fam,CHI,188,188.000031,2,2CHI,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
32,Pho,Pho the whole fam,OXF,186,186.000032,2,2OXF,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
33,Wagamama,family chicken katsu,FIN,185,185.000033,1,1FIN,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
34,Wagamama,family chicken katsu,REA,183,183.000034,1,1REA,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
35,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,MVK,182,182.000035,1,1MVK,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
36,Dishoom,Chicken Berry Britannia – for the family,CHI,181,181.000036,3,3CHI,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
37,Wagamama,family chicken katsu,CRO,180,180.000037,1,1CRO,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
38,Cacciari's,Lasagna Suitable for a Family of 4,SKC,177,177.000038,1,1SKC,,1,1,100%,,Lasagne,27,1,3,1,1,0,,,,Lasagne,4%,22%
39,Pho,Pho the whole fam,WIM,175,175.000039,1,1WIM,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
40,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,MK,175,175.00004,1,1MK,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
41,Dishoom,Chicken Berry Britannia – for the family,FCH,175,175.000041,3,3FCH,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
42,Wagamama,family chicken katsu,BRO,170,170.000042,1,1BRO,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
43,Kricket,Butter Chicken,DAL,170,170.000043,1,1DAL,,3,2,67%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
44,Wagamama,family chicken katsu,WIM,169,169.000044,2,2WIM,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
45,Pho,Pho the whole fam,EAL,169,169.000045,1,1EAL,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
46,Pho,Pho the whole fam,NTG,169,169.000046,1,1NTG,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
47,Pho,Pho the whole fam,KIN,166,166.000047,1,1KIN,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
48,Wagamama,family chicken katsu,BOU,165,165.000048,1,1BOU,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
49,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,ISL,164,164.000049,3,3ISL,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
50,Dishoom,Chicken Berry Britannia – for the family,SUR,164,164.00005,2,2SUR,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
51,Chaska,"Home-Style Butter Chicken Meal ( 16oz Butter Chicken, 12oz Tadka Dal, 1 Jeera Aloo and 2 Portion Fluffy Rice)",DCN,163,163.000051,1,1DCN,,1,1,100%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
52,Wagamama,family chicken katsu,EAL,162,162.000052,2,2EAL,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
53,Banana Tree,🍜Pad Thai Bundle For Four🍜,CLA,157,157.000053,4,4CLA,,17,1,6%,,Noodles,143,3,9,11,12,18,,,,Noodles,2%,37%
54,Wagamama,family chicken katsu,BAS,155,155.000054,1,1BAS,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
55,Farmer J,Family Chicken Dinner,WC,154,154.000055,1,1WC,,6,3,50%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
56,Pho,Pho the whole fam,REA,153,153.000056,2,2REA,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
57,Wagamama,family chicken katsu,GUI,153,153.000057,1,1GUI,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
58,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,SAL,153,153.000058,1,1SAL,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
59,Dishoom,Chicken Berry Britannia – for the family,NHP,152,152.000059,2,2NHP,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
60,Pho,Pho the whole fam,FUL,152,152.00006,1,1FUL,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
61,Wagamama,family chicken katsu,BRK,151,151.000061,3,3BRK,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
62,Pho,Pho the whole fam,NOR,150,150.000062,1,1NOR,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
63,Pho,Pho the whole fam,EDC,149,149.000063,2,2EDC,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
64,Dishoom,Chicken Berry Britannia – for the family,WME,149,149.000064,2,2WME,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
65,Wagamama,family chicken katsu,CMB,148,148.000065,1,1CMB,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
66,Wagamama,family chicken katsu,ENF,148,148.000066,1,1ENF,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
67,Pho,Pho the whole fam,EDG,147,147.000067,1,1EDG,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
68,Pho,Pho the whole fam,CLA,146,146.000068,5,5CLA,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
69,Dishoom,Chicken Berry Britannia – for the family,BRK,145,145.000069,4,4BRK,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
70,Dishoom,Chicken Berry Britannia – for the family,WAN,144,144.00007,2,2WAN,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
71,Pho,Pho the whole fam,ISL,144,144.000071,4,4ISL,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
72,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,BRM,143,143.000072,1,1BRM,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
73,Wagamama,family chicken katsu,BRCK,142,142.000073,1,1BRCK,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
74,Pho,It's a curry night,BNC,139,139.000074,2,2BNC,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
75,Wagamama,family chicken katsu,UXB,139,139.000075,1,1UXB,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
76,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,CLM,138,138.000076,1,1CLM,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
77,Farmer J,Family Chicken Dinner,CW,135,135.000077,2,2CW,,6,3,50%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
78,Wagamama,family chicken katsu,ROM,134,134.000078,1,1ROM,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
79,Wagamama,family chicken katsu,NOR,133,133.000079,2,2NOR,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
80,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,CNN,133,133.00008,3,3CNN,,7,1,14%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
81,Pho,Pho the whole fam,LBR,133,133.000081,1,1LBR,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
82,Dishoom,Chicken Berry Britannia – for the family,WEM,132,132.000082,3,3WEM,,11,0,0%,,Biryani,26,0,6,4,1,3,,,,Biryani,0%,54%
83,Wagamama,family chicken katsu,KIN,132,132.000083,2,2KIN,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
84,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,CAM,132,132.000084,2,2CAM,,37,9,24%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
85,Banana Tree,🍜Pad Thai Bundle For Four🍜,MK,130,130.000085,2,2MK,,17,1,6%,,Noodles,143,3,9,11,12,18,,,,Noodles,2%,37%
86,Wagamama,family chicken katsu,BRS,129,129.000086,3,3BRS,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
87,Pho,It's a curry night,BRS,129,129.000087,2,2BRS,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
88,Dishoom,Dishoom Mattar Paneer – for the family,ISL,128,128.000088,5,5ISL,,11,0,0%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
89,Pho,Pho the whole fam,STR,126,126.000089,1,1STR,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
90,Cocotte,Family Feast One,SKC,125,125.00009,2,2SKC,,5,1,20%,,Protein & Veg ,16,1,2,3,1,0,,,,Protein & Veg ,6%,44%
91,Wagamama,family chicken katsu,EPS,125,125.000091,1,1EPS,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
92,Wagamama,family chicken katsu,CLA,123,123.000092,6,6CLA,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
93,Wagamama,family chicken katsu,BNC,123,123.000093,3,3BNC,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
94,Wagamama,family chicken katsu,STR,123,123.000094,2,2STR,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
95,Wagamama,family chicken katsu,CLC,123,123.000095,1,1CLC,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
96,Pho,Pho the whole fam,GLC,121,121.000096,1,1GLC,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
97,Pho,Pho the whole fam,MK,121,121.000097,3,3MK,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
98,Itsu,sushi family feast,OXF,120,120.000098,3,3OXF,,36,3,8%,,Sushi,36,3,8,4,1,4,,,,Sushi,8%,56%
