,Top Items,,,,,
,,,,,,
,,,,,,
,Source,"https://deliveroo.looker.com/explore/general/denormalised_items?qid=aAOBBRYz5onas70gkurK2y&toggle=fil,vis",,,,
,,6 Oct - 12 Dec,,,,
,,,,,,
,Sf Global Brand,Menu Item Operational Name,"Orders count (delivered, rejected, cancelled, et al.)",,Number of Rx,Average Items per Rx
,Asia Villa,4x Family Style Egg Fried Noodle with Korean Chicken,30,,5,6
,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal ( Honey Chicken (main) + Fried rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),28,,5,6
,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal ( Honey Chicken (main) + Fried rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),27,,5,5
,Tiffin Tin,Family Chicken Aloo Mutter,27,,6,5
,Tiffin Tin,Family Royal Forest Curry,26,,6,4
,Xian Street Food,Sweet and Sour Chicken Family Meal (Sweet and Sour Chicken + Boiled rice + Dumpling + 4 in 1),24,,5,5
,Milano,Family Pizza Feast,24,,10,2
,Shaku Maku,Shaku Maku Family Platter (Maqluba + chicken rolls + fatoush salad + hummus + baba ghanoush with bread),22,,1,22
,Asia Villa,4x Family Style Phad Thai with Sweet Chilli Chicken,22,,5,4
,Iro Sushi,Veggie Wok Party,21,,30,1
,atis,Chicken Family Feast,19,,9,2
,Taste Of Hong Kong-DCN,纯肉双拼家庭套餐，含2炒饭+4小笼包,19,,0,0
,PIZAZA-SGroup,Family Rose Pasta,18,,3,6
,Chaska,Chicken Biryani For The Table,18,,4,5
,Xian Street Food,Chicken Fried Rice Family Meal (Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken),18,,5,4
,Bella Italia,Tomato & Red Pepper Rigatoni Family Bundle,18,,29,1
,TUK TUK-SGroup,"Wings, Fries & Beansprout Salad",17,,1,17
,Shaku Maku,Grill & Mezze Family Feast (Grilled Chicken + chicken rolls + fatoush salad + hummus + baba ghanoush with bread and rice),17,,1,17
,Tadka House,"1000g Chicken Tikka Masala, 2 Boiled Rice, 1 Chips, 1 Plain Naan & Poppadoms",17,,1,17
,Zumuku,Chicken or Tofu Katsu Curry,17,,1,17
,Yacob's Kitchen,Vegan Dinneroo Platter,17,,0,0
,TUK TUK-SGroup,Korean Bulgogi and Steamed Rice,16,,1,16
,The Salad Project,The Caesar Family Style,16,,0,0
,Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,15,,5,3
,Xian Street Food,Chicken Fried Rice Family Meal ( Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken),15,,5,3
,Cocotte,Family Veggie Feast,15,,5,3
,The Salad Project,The GOAT Family Style,15,,0,0
,Remedy Kitchen,The Filler Dinneroo Platter,15,,0,0
,Zumuku,Rice Bowl - Salmon Teriyaki,13,,1,13
,Tadka House,"1000g Butter Chicken, 2 Rice, 1 Chips, 1 Naan & Poopadoms",13,,1,13
,PIZAZA-SGroup,Family Alfredo Pasta,13,,3,4
,Xian Street Food,Ultimate Tofu Platter (Crispy Tofu + Curry Tofu (main) + Boiled Rice + Tofu 4 in 1),12,,5,2
,Tula Ireland,"Tula Main, Quesadilla, Kids Quesadilla, Bag of Corn Tortilla Chips & Dip",12,,0,0
,Bill's,Family Cauliflower Thai Green Curry,10,,40,0
,Tula Ireland,"Tula Main, Tula Nachos & Kids Quesadilla Family Dinneroo Feast",10,,0,0
,TUK TUK-SGroup,Sweet and Sour “MOCK Chicken” & Egg Fried Rice,9,,1,9
,SOYO-SGroup,Family Rose Pasta Bake,9,,2,5
,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal (Honey Chicken (main) + Fried rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),9,,5,2
,Taste Of Hong Kong-DCN,纯肉双拼家庭套餐，含2炒饭+2烧麦,9,,0,0
,Tadka House,"1000g Biryani, 4 Onion Bhaji, & 1 Pesawari Naan & Poppadoms",8,,1,8
,Zumuku Sushi,Chicken Katsu Curry,7,,1,7
,SOYO-SGroup,Family Pasta Bake,7,,2,4
,Tiffin Tin,Family Mixed Vegetable Curry,7,,6,1
,Wagamama,family chicken coconut + lemongrass curry,7,,103,0
,Cacciari's,Penne with Traditional basil pesto Suitable for a Family of 4,6,,1,6
