rank,dish_type,cuisine,on_dinneroo,unified_score,performance_score,opportunity_score,tier,quadrant,evidence_level,order_volume,avg_rating,adult_satisfaction,kids_happy,latent_demand_score,adult_appeal,balanced_guilt_free,fussy_eater_friendly
50,Risotto,Italian,False,2.7,,2.7,Tier 4: Monitor,Monitor,Validated,,,,,2,4,3,3
51,Jerk Chicken,Caribbean,False,2.7,,2.7,Tier 4: Monitor,Monitor,Validated,,,,,2,4,3,3
52,Filled Pasta,Italian,False,2.7,,2.7,Tier 4: Monitor,Monitor,Validated,,,,,2,4,3,3
53,Gnocchi,Italian,False,2.7,,2.7,Tier 4: Monitor,Monitor,Validated,,,,,2,4,3,3
54,Pulled Pork,American,False,2.63,,2.63,Tier 4: Monitor,Monitor,Validated,,,,,2,4,2,4
55,Tempura,Japanese,False,2.63,,2.63,Tier 4: Monitor,Monitor,Validated,,,,,2,4,2,4
56,Casserole,British,False,2.61,,2.61,Tier 4: Monitor,Monitor,Validated,,,,,2,3,3,4
57,Plantain,Caribbean,False,2.61,,2.61,Tier 4: Monitor,Monitor,Validated,,,,,2,3,3,4
58,Rotisserie Chicken,Global,False,2.61,,2.61,Tier 4: Monitor,Monitor,Validated,0.0,,,,1,4,4,5
59,Curry Goat,Caribbean,False,2.59,,2.59,Tier 4: Monitor,Monitor,Validated,,,,,2,4,3,2
60,Oxtail,Caribbean,False,2.59,,2.59,Tier 4: Monitor,Monitor,Validated,,,,,2,4,3,2
61,Buddha Bowl,Healthy,False,2.58,,2.58,Tier 4: Monitor,Monitor,Validated,0.0,,,,1,4,5,3
62,Schnitzel,German,False,2.54,,2.54,Tier 4: Monitor,Monitor,Validated,,,,,2,3,2,5
63,Fish & Chips,British,True,2.54,,2.54,Tier 4: Monitor,Monitor,Validated,32.0,,,,2,3,2,5
64,Sweet & Sour,Chinese,False,2.54,,2.54,Tier 4: Monitor,Monitor,Validated,,,,,2,3,2,5
65,Poke Bowl,Hawaiian,True,2.47,,2.47,Tier 4: Monitor,Monitor,Validated,39.0,,,,1,4,5,2
66,Ramen,Japanese,True,2.46,2.0,2.91,Tier 4: Monitor,Monitor,Validated,223.0,3.76,,,2,5,3,3
67,Bratwurst,German,False,2.42,,2.42,Tier 4: Monitor,Monitor,Validated,,,,,2,3,2,4
68,Pierogi,Polish,False,2.42,,2.42,Tier 4: Monitor,Monitor,Validated,,,,,2,3,2,4
69,Pasty,British,False,2.42,,2.42,Tier 4: Monitor,Monitor,Validated,,,,,2,3,2,4
70,Dim Sum,Chinese,False,2.41,,2.41,Tier 4: Monitor,Monitor,Validated,0.0,,,,1,5,3,3
71,Falafel,Middle Eastern,False,2.39,,2.39,Tier 4: Monitor,Monitor,Validated,,,,,1,4,4,3
72,Bibimbap,Korean,False,2.39,,2.39,Tier 4: Monitor,Monitor,Validated,0.0,,,,1,4,4,3
73,Hummus Plate,Middle Eastern,False,2.39,,2.39,Tier 4: Monitor,Monitor,Validated,,,,,1,4,4,3
74,Hot Dog,American,False,2.33,,2.33,Tier 4: Monitor,Monitor,Validated,,,,,2,2,2,5
75,Butter Chicken,Indian,True,2.32,2.33,2.32,Tier 4: Monitor,Monitor,Validated,365.0,4.0,,,1,4,3,4
76,Souvlaki,Greek,False,2.32,,2.32,Tier 4: Monitor,Monitor,Validated,0.0,,,,1,4,3,4
77,Teriyaki,Japanese,True,2.32,2.33,2.32,Tier 4: Monitor,Monitor,Validated,394.0,4.0,,,1,4,3,4
78,Gyoza,Japanese,False,2.32,,2.32,Tier 4: Monitor,Monitor,Validated,,,,,1,4,3,4
79,Tikka Masala,Indian,True,2.32,,2.32,Tier 4: Monitor,Monitor,Validated,19.0,,,,1,4,3,4
80,Satay,Thai,False,2.32,,2.32,Tier 4: Monitor,Monitor,Validated,,,,,1,4,3,4
81,Udon,Japanese,False,2.32,,2.32,Tier 4: Monitor,Monitor,Validated,,,,,1,4,3,4
82,Laksa,Malaysian,False,2.3,,2.3,Tier 4: Monitor,Monitor,Validated,,,,,1,5,3,2
83,Shepherd's Pie,British,True,2.3,2.0,2.61,Tier 4: Monitor,Monitor,Validated,333.0,,,,2,3,3,4
84,Rendang,Indonesian,False,2.3,,2.3,Tier 4: Monitor,Monitor,Validated,,,,,1,5,3,2
85,Grain Bowl,Healthy,True,2.29,2.0,2.58,Tier 4: Monitor,Monitor,Validated,192.0,,,,1,4,5,3
86,Sandwich,Global,False,2.22,,2.22,Tier 4: Monitor,Monitor,Validated,,,,,1,3,3,5
87,Korma,Indian,False,2.22,,2.22,Tier 4: Monitor,Monitor,Validated,0.0,,,,1,3,3,5
88,Greek Mezze,Greek,False,2.2,,2.2,Tier 4: Monitor,Monitor,Validated,7.0,,,,1,4,3,3
89,Korean Fried Chicken,Korean,True,2.17,2.0,2.34,Tier 4: Monitor,Monitor,Validated,398.0,,,,1,5,2,4
90,Roast Dinner,British,True,2.16,2.0,2.32,Tier 4: Monitor,Monitor,Validated,287.0,,,,1,4,3,4
91,Wings,American,False,2.13,,2.13,Tier 4: Monitor,Monitor,Validated,,,,,1,4,2,4
92,BBQ Ribs,American,False,2.13,,2.13,Tier 4: Monitor,Monitor,Validated,,,,,1,4,2,4
93,Cottage Pie,British,False,2.11,,2.11,Tier 4: Monitor,Monitor,Validated,0.0,,,,1,3,3,4
94,Wrap,Global,True,2.11,,2.11,Tier 4: Monitor,Monitor,Validated,44.0,,,,1,3,3,4
95,Burrito,Mexican,False,2.11,,2.11,Tier 4: Monitor,Monitor,Validated,3.0,,,,1,3,3,4
96,Veggie Fajitas,Mexican,True,2.1,2.0,2.2,Tier 4: Monitor,Monitor,Validated,333.0,,,,1,4,3,3
97,Halloumi Wrap,Global,True,2.05,2.0,2.11,Tier 4: Monitor,Monitor,Validated,161.0,,,,1,3,3,4
98,Baked Pasta,Italian,False,2.04,,2.04,Tier 4: Monitor,Monitor,Validated,,,,,1,3,2,5
99,Bangers & Mash,British,False,2.04,,2.04,Tier 4: Monitor,Monitor,Validated,0.0,,,,1,3,2,5
100,Stir Fry,Asian,True,2.03,1.67,2.39,Tier 4: Monitor,Monitor,Validated,61.0,4.4,0.33,0.0,1,4,4,3
