ZONE_NAME,CITY_NAME,TOTAL_ORDERS,UNIQUE_PARTNERS,UNIQUE_CUSTOMERS,AVG_ORDER_VALUE,SCHEDULING_RATE,PLUS_PENETRATION
Palmers Green / Southgate,London,110,2,88,32.3189090909,0.0,0.5818181818181818
South Pollok,Glasgow,106,1,73,36.7044339623,0.0,0.6886792452830188
Edgware / Mill Hill,London,103,3,83,34.8634951456,0.0,0.7378640776699029
High Wycombe,London,93,1,76,34.1869892473,0.0,0.6989247311827957
Chingford,London,87,3,69,34.7080459770,0.0,0.5747126436781609
Sidcup,London,84,2,55,30.8808333333,0.0,0.7857142857142857
Ilford,London,80,1,67,32.9122500000,0.0,0.6625
Dulwich,London,76,1,59,32.4917105263,0.0,0.6842105263157895
South Woodford,London,76,1,70,31.3848684211,0.0,0.5526315789473685
Poole,Bournemouth,75,2,59,32.8804000000,0.0,0.7466666666666667
Ronanstown,Dublin,74,2,59,39.1301351351,0.0,0.7162162162162162
Godalming,London,73,2,46,33.8901369863,0.0,0.6575342465753424
Beckenham,London,72,1,52,30.5266666667,0.0,0.5972222222222222
Hunts Cross,Liverpool,69,2,56,37.3860869565,0.0,0.4927536231884058
Raynes Park,London,68,2,54,32.2411764706,0.0,0.5882352941176471
Eltham,London,63,2,51,33.5000000000,0.0,0.6666666666666666
Ruislip,London,62,1,46,31.9704838710,0.0,0.6935483870967742
Tonbridge,Royal Tunbridge Wells,61,2,47,35.0147540984,0.0,0.5901639344262295
Warwick,Coventry,61,2,51,31.4736065574,0.0,0.6229508196721312
Aldershot,Camberley,57,1,52,33.1961403509,0.0,0.6140350877192983
Bermondsey,London,56,2,49,31.1769642857,0.0,0.7142857142857143
Morningside,Edinburgh,55,1,37,31.8854545455,0.0,0.6909090909090909
Bexleyheath,London,54,2,42,32.3118518519,0.0,0.7037037037037037
Barnet,London,54,1,36,32.1657407407,0.0,0.6481481481481481
Eastbourne,Brighton,50,2,36,35.8376000000,0.0,0.58
Renfrew,Glasgow,49,2,35,31.1287755102,0.0,0.6938775510204082
Dudley,Birmingham,46,2,38,33.4454347826,0.0,0.7608695652173914
Crawley,Crawley,46,1,42,34.1615217391,0.0,0.5652173913043478
Fleet,Camberley,44,1,32,32.9113636364,0.0,0.6818181818181818
Headingley,Leeds,43,1,34,33.2837209302,0.0,0.7209302325581395
Lockleaze,Bristol,43,1,42,29.2302325581,0.0,0.6744186046511628
Hemel Hempstead,London,43,2,34,31.0139534884,0.0,0.7441860465116279
"Vauxhall, Kennington and Oval",London,42,1,38,30.7576190476,0.0,0.47619047619047616
Gerrards Cross,London,42,1,29,31.2573809524,0.0,0.42857142857142855
Tooting,London,42,1,42,30.4678571429,0.0,0.5238095238095238
Kylemore,Dublin,36,1,34,35.4050000000,0.0,0.6388888888888888
Shirley / Wickham,London,35,1,27,33.6914285714,0.0,0.6857142857142857
Bournemouth East,Bournemouth,35,1,29,35.0288571429,0.0,0.6285714285714286
Purley,London,34,1,25,32.0767647059,0.0,0.7058823529411765
Grays,London,34,1,26,33.5697058824,0.0,0.6470588235294118
Sevenoaks,Royal Tunbridge Wells,34,2,33,40.4173529412,0.0,0.5588235294117647
Hitchin,London,32,1,28,34.6987500000,0.0,0.71875
Galway,Galway,31,3,30,44.7932258065,0.0,0.5161290322580645
Stockport/Heaton Moor,Manchester,31,1,23,30.7158064516,0.0,0.7096774193548387
Southall,London,31,1,30,31.4058064516,0.0,0.5483870967741935
Chesham,London,29,1,24,36.2593103448,0.0,0.4482758620689655
Mulhuddart,Dublin,29,1,23,37.5575862069,0.0,0.5862068965517241
Oakwood and Chapeltown,Leeds,28,1,25,33.2396428571,0.0,0.6071428571428571
Maidenhead,London,28,1,26,31.8596428571,0.0,0.7142857142857143
Taplow and Burnham,London,28,1,25,29.2257142857,0.0,0.5357142857142857
Altrincham and Hale,Manchester,27,1,24,30.3166666667,0.0,0.6296296296296297
Greater Leeds,Leeds,25,1,22,32.8940000000,0.0,0.56
Beeston,Leeds,25,1,22,34.9816000000,0.0,0.68
Stanmore,London,24,1,19,31.8541666667,0.0,0.6666666666666666
"Dun laoghaire, Dalkey, Killiney",Dublin,24,1,22,39.1887500000,0.0,0.5833333333333334
Eastleigh Central,Southampton,23,1,20,34.3852173913,0.0,0.9565217391304348
Farnborough,Camberley,21,1,20,32.9947619048,0.0,0.5238095238095238
Saltdean,Brighton,19,2,17,30.4236842105,0.0,0.6842105263157895
Rotherham,Sheffield,19,1,15,29.1100000000,0.0,0.7368421052631579
Sheffield,Sheffield,19,1,14,33.5621052632,0.0,0.7368421052631579
Leyton,London,18,1,18,41.4233333333,0.0,0.6666666666666666
East Barnet,London,18,1,17,42.2427777778,0.0,0.5555555555555556
Borehamwood,London,17,1,15,35.6664705882,0.0,0.5882352941176471
Woolwich,London,17,1,14,34.1064705882,0.0,0.5882352941176471
Portsmouth,Portsmouth,16,1,16,31.8106250000,0.0,0.4375
Belfast,Belfast,14,2,12,33.6464285714,0.0,0.7142857142857143
Orpington,London,14,1,13,39.9671428571,0.0,0.7857142857142857
Hillfields,Bristol,13,1,13,28.2130769231,0.0,0.6153846153846154
Crystal Palace / Penge,London,13,1,11,35.1000000000,0.0,0.6923076923076923
Belfast Central,Belfast,13,1,13,33.2538461538,0.0,0.6153846153846154
Slough,London,12,1,9,31.3758333333,0.0,0.75
Leatherhead,London,11,1,11,28.4654545455,0.0,0.5454545454545454
Epping,London,11,1,11,35.2590909091,0.0,0.45454545454545453
Maidstone,Maidstone,10,1,6,40.8210000000,0.0,1.0
Glasgow Centre East,Glasgow,10,1,10,44.5750000000,0.0,0.4
Belfast East,Belfast,9,1,7,27.8166666667,0.0,0.7777777777777778
Waterloo & Southbank,London,9,2,7,28.2911111111,0.0,0.7777777777777778
New Earswick and Huntington,York,5,1,5,27.7280000000,0.0,0.6
Letchworth Garden City,London,5,1,4,29.5960000000,0.0,0.2
Port Solent,Portsmouth,3,1,3,25.5466666667,0.0,0.6666666666666666
Euston,London,2,1,2,29.3000000000,0.0,0.5
