zone_code,zone_name,city,region,partner_count,asian_dishes,italian_dishes,indian_dishes,healthy_dishes,mexican_dishes,middle_eastern_dishes,british_dishes,total_dishes,cuisine_count,has_asian,has_italian,has_indian,has_healthy,has_mexican,has_middle_eastern,has_british
HLO,Halesowen,Birmingham,North England,6,12,9,0,0,6,0,0,27,3,True,True,False,False,True,False,False
RNF,Renfrew,Glasgow,Ireland and Scotland,3,4,9,0,0,0,0,0,13,2,True,True,False,False,False,False,False
CM2,CM2,London,Greater London,1,0,4,0,0,0,0,0,4,1,False,True,False,False,False,False,False
CHRC,Cheltenham Racecourse,Cheltenham,South England and Wales,5,12,9,0,0,0,0,0,21,2,True,True,False,False,False,False,False
TBU,Taplow and Burnham,London,Greater London,3,4,9,0,0,0,0,0,13,2,True,True,False,False,False,False,False
RUS,Rusholme,Manchester,North England,5,10,4,0,0,3,0,0,17,3,True,True,False,False,True,False,False
HLYT,Bellshill & Holytown,Glasgow,Ireland and Scotland,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
RG02,RG02,Reading,Greater London,1,0,4,0,0,0,0,0,4,1,False,True,False,False,False,False,False
GOD,Godalming,London,Greater London,7,21,13,0,0,0,3,1,38,4,True,True,False,False,False,True,True
CBRA,Cabra,Dublin,Ireland and Scotland,5,12,4,5,0,0,1,0,22,4,True,True,True,False,False,True,False
WRSW,Whitley Row/ Sevenoaks Weald,Royal Tunbridge Wells,Greater London,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
CHO,Chorlton,Manchester,North England,12,29,18,0,0,9,3,1,60,5,True,True,False,False,True,True,True
BSW,Bishopsworth,Bristol,South England and Wales,3,0,9,0,0,6,0,0,15,2,False,True,False,False,True,False,False
PSL,Paisley,Glasgow,Ireland and Scotland,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
HUR,Hurn,Bournemouth,South England and Wales,1,0,5,0,0,0,0,0,5,1,False,True,False,False,False,False,False
HAX,Haxby,York,North England,1,0,5,0,0,0,0,0,5,1,False,True,False,False,False,False,False
RTHT,Rotherhithe,London,Core London,7,16,4,4,2,0,3,0,29,5,True,True,True,True,False,True,False
MMS,Mayfair,London,Core London,18,26,21,4,14,3,6,1,75,7,True,True,True,True,True,True,True
MLY,Morley and New Brighton,Leeds,North England,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
CRA,Cranfield,Milton Keynes,South England and Wales,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
POR,Portsmouth,Portsmouth,South England and Wales,9,20,14,0,0,6,0,0,40,3,True,True,False,False,True,False,False
SOUW,Southampton West,Southampton,South England and Wales,5,6,13,0,0,6,3,1,29,5,True,True,False,False,True,True,True
SO1,SO1,Southampton,South England and Wales,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
TOY,Totley,Sheffield,North England,1,0,4,0,0,0,0,0,4,1,False,True,False,False,False,False,False
CT02,CT02,Canterbury,South England and Wales,1,0,5,0,0,0,0,0,5,1,False,True,False,False,False,False,False
HORM,Horley,Crawley,Greater London,6,17,8,0,0,0,3,1,29,4,True,True,False,False,False,True,True
MK01,MK01,Milton Keynes,South England and Wales,1,0,4,0,0,0,0,0,4,1,False,True,False,False,False,False,False
SOXF,South Oxford,Oxford,South England and Wales,7,24,9,0,0,0,0,0,33,2,True,True,False,False,False,False,False
BSTW,Bestwood,Nottingham,North England,7,11,18,0,0,6,3,1,39,5,True,True,False,False,True,True,True
KNH,Hillfields,Bristol,South England and Wales,6,19,9,0,0,0,0,0,28,2,True,True,False,False,False,False,False
GRC,Gerrards Cross,London,Greater London,3,7,4,0,0,0,0,0,11,2,True,True,False,False,False,False,False
CTP,Cotgrave Park,Nottingham,North England,3,7,4,0,0,0,0,0,11,2,True,True,False,False,False,False,False
CSTR,Caistor St Edmund,Norwich,South England and Wales,2,0,9,0,0,0,0,0,9,1,False,True,False,False,False,False,False
BSTH,Bishopthorpe,York,North England,1,0,4,0,0,0,0,0,4,1,False,True,False,False,False,False,False
DNB,Danbury,Chelmsford,South England and Wales,4,9,8,0,0,0,3,1,21,4,True,True,False,False,False,True,True
ESH,Esher,London,Greater London,7,24,8,0,0,0,3,1,36,4,True,True,False,False,False,True,True
EDG,Edgbaston,Birmingham,North England,10,19,13,0,2,9,3,1,47,6,True,True,False,True,True,True,True
ECC,Eccles,Manchester,North England,8,18,18,0,0,6,3,1,46,5,True,True,False,False,True,True,True
