zone_code,zone_name,city,region,partner_count,asian_dishes,italian_dishes,indian_dishes,healthy_dishes,mexican_dishes,middle_eastern_dishes,british_dishes,total_dishes,cuisine_count,has_asian,has_italian,has_indian,has_healthy,has_mexican,has_middle_eastern,has_british
YOR,York,York,North England,8,14,18,0,0,6,3,1,42,5,True,True,False,False,True,True,True
BRCK,Bracknell,Camberley,Greater London,4,7,4,0,0,6,0,0,17,3,True,True,False,False,True,False,False
WME,Wapping and Mile End,London,Core London,13,29,4,4,11,0,3,0,51,5,True,True,True,True,False,True,False
COS,Cosham,Portsmouth,South England and Wales,1,0,5,0,0,0,0,0,5,1,False,True,False,False,False,False,False
STL,Southall,London,Greater London,6,16,4,1,0,6,0,0,27,4,True,True,True,False,True,False,False
ELTP,Eltham Palace,London,Greater London,3,7,4,0,0,0,0,0,11,2,True,True,False,False,False,False,False
HLT,Heslington,York,North England,7,14,14,0,0,6,3,1,38,5,True,True,False,False,True,True,True
NTG,Nottingham,Nottingham,North England,8,14,18,0,0,6,3,1,42,5,True,True,False,False,True,True,True
CGT,Craigentinny,Edinburgh,Ireland and Scotland,4,20,0,0,0,0,0,0,20,1,True,False,False,False,False,False,False
CHRL,Charlcombe,Bath,South England and Wales,2,3,0,0,0,6,0,0,9,2,True,False,False,False,True,False,False
ABT,Arbourthorne,Sheffield,North England,4,9,9,0,0,0,0,0,18,2,True,True,False,False,False,False,False
WDC,Woolwich Dockyard and Charlton Park,London,Greater London,2,6,0,0,0,0,0,0,6,1,True,False,False,False,False,False,False
WLWT,Walworth,London,Core London,14,31,8,7,11,0,3,1,61,6,True,True,True,True,False,True,True
GCE,Glasgow Centre East,Glasgow,Ireland and Scotland,3,4,5,0,0,6,0,0,15,3,True,True,False,False,True,False,False
ME,Manchester East,Manchester,North England,2,4,0,0,0,3,0,0,7,2,True,False,False,False,True,False,False
OTF,Otford,Royal Tunbridge Wells,Greater London,2,6,0,0,0,0,0,0,6,1,True,False,False,False,False,False,False
RYA,Royal Arsenal,London,Greater London,2,2,4,0,0,0,0,0,6,2,True,True,False,False,False,False,False
CHIN,Chinbrook Meadows,London,Greater London,2,2,4,0,0,0,0,0,6,2,True,True,False,False,False,False,False
GLC,Glasgow Centre,Glasgow,Ireland and Scotland,7,16,9,0,0,6,0,0,31,3,True,True,False,False,True,False,False
KNWL,Knowle,Bristol,South England and Wales,8,19,14,0,0,6,0,0,39,3,True,True,False,False,True,False,False
WAR,Warwick,Coventry,North England,4,7,4,0,0,6,0,0,17,3,True,True,False,False,True,False,False
EGEN,Egham and Englefield Green,London,Greater London,6,14,13,0,0,0,3,1,31,4,True,True,False,False,False,True,True
CSTL,Castleknock,Dublin,Ireland and Scotland,1,0,4,0,0,0,0,0,4,1,False,True,False,False,False,False,False
DUND,Dundonald,Belfast,Ireland and Scotland,1,0,4,0,0,0,0,0,4,1,False,True,False,False,False,False,False
STR,Stratford,London,Greater London,12,24,4,10,5,0,3,0,46,5,True,True,True,True,False,True,False
HSF,Horsham St Faith,Norwich,South England and Wales,1,0,5,0,0,0,0,0,5,1,False,True,False,False,False,False,False
CV01,CV01,Coventry,North England,2,3,4,0,0,0,0,0,7,2,True,True,False,False,False,False,False
DRU,Drumcondra,Dublin,Ireland and Scotland,5,12,4,5,0,0,1,0,22,4,True,True,True,False,False,True,False
HULM,Hulme,Manchester,North England,6,26,0,0,0,3,0,0,29,2,True,False,False,False,True,False,False
OGCE,Outer Glasgow East,Glasgow,Ireland and Scotland,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
