ZONE_NAME,CITY_NAME,DINNEROO_PARTNER_COUNT,DINNEROO_CUISINE_COUNT,TOTAL_DINNEROO_ORDERS,CUISINES_AVAILABLE,order_count,avg_rating,rating_count,unique_dishes,score_cuisine,score_partners,score_dishes,score_performance,score_quality,composite_score,rank
Bracknell,Camberley,4,4,413,"Latin American, italian, japanese, thai",585,4.553846153846154,65.0,337,6,4,10,10,10,83.0,39
Cardiff,Cardiff,6,5,321,"Burgers, Latin American, Vietnamese, italian, japanese",475,4.571428571428571,70.0,258,8,6,10,7,10,82.5,40
Canary Wharf,London,6,4,595,"Salads, Sandwiches, Vietnamese, japanese",1122,4.294520547945205,146.0,342,6,6,10,10,6,80.0,41
Croydon,London,5,4,353,"Asian, Movie Night Restaurants, italian, japanese",519,4.2894736842105265,76.0,215,6,6,10,10,6,80.0,42
Salford,Manchester,5,4,411,"Asian, Featured Restaurants, italian, japanese",535,4.257425742574258,101.0,250,6,6,10,10,6,80.0,43
Southsea,Portsmouth,7,6,289,"Asian, Latin American, Vietnamese, italian, japanese, thai",435,4.180327868852459,61.0,294,8,8,10,7,6,79.5,44
Finsbury Park / Harringay / Crouch End,London,4,3,987,"Tacos, Vegan Friendly, indian",1534,4.528,250.0,223,4,4,10,10,10,79.0,45
Wapping and Mile End,London,4,4,626,"Asian, Curry, Healthy, Middle Eastern",961,4.662068965517242,145.0,151,6,4,8,10,10,78.0,46
St Albans,London,4,4,389,"Burgers, Salads, italian, japanese",559,4.22680412371134,97.0,318,6,4,10,10,6,77.0,47
Dartford,London,6,5,221,"Asian, Sandwiches, Shawarma, italian, japanese",336,4.102564102564102,39.0,253,8,6,10,7,6,76.5,48
Camden/Kentish Town,London,6,6,170,"Asian, Salads, Sandwiches, Tacos, italian, japanese",249,4.111111111111111,36.0,221,8,6,10,7,6,76.5,49
Edgbaston,Birmingham,3,3,354,"Vietnamese, italian, thai",574,4.67741935483871,93.0,204,4,2,10,10,10,76.0,50
Brockley / Forest Hill,London,3,3,904,"Vegan Friendly, indian, japanese",1478,4.612068965517241,232.0,210,4,2,10,10,10,76.0,51
Bournemouth,Bournemouth,5,3,411,"Vietnamese, italian, japanese",634,4.263736263736264,91.0,257,4,6,10,10,6,76.0,52
Colchester,Colchester,4,4,337,"Burgers, italian, japanese, sushi",464,4.597014925373134,67.0,249,6,4,10,7,10,75.5,53
Royal Tunbridge Wells,Royal Tunbridge Wells,5,4,274,"Burgers, italian, japanese, thai",426,4.4363636363636365,55.0,321,6,6,10,7,8,75.5,54
Cheltenham,Cheltenham,6,4,342,"Vietnamese, italian, japanese, thai",512,4.378378378378378,74.0,270,6,6,10,7,8,75.5,55
Edinburgh Central,Edinburgh,4,3,427,"Asian, Pho, italian",722,4.511363636363637,88.0,145,4,4,8,10,10,74.0,56
Surrey Quays,London,4,3,771,"Healthy, Middle Eastern, indian",1139,4.606217616580311,193.0,131,4,4,8,10,10,74.0,57
Watford,London,4,4,262,"Latin American, italian, japanese, sushi",372,4.357142857142857,56.0,220,6,4,10,7,8,72.5,58
Horsham,Crawley,4,4,282,"Burgers, italian, japanese, thai",416,4.409090909090909,66.0,283,6,4,10,7,8,72.5,59
Windsor,London,5,4,356,"Asian, Burgers, italian, japanese",517,4.298701298701299,77.0,278,6,6,10,7,6,72.5,60
Southampton,Southampton,5,4,342,"Burgers, Latin American, italian, japanese",470,4.288888888888889,90.0,281,6,6,10,7,6,72.5,61
Wandsworth,London,3,3,532,"Curry, italian, japanese",853,4.691275167785235,149.0,145,4,2,8,10,10,71.0,62
Brixton,London,4,4,317,"Salads, Sandwiches, indian, italian",396,4.5,64.0,150,6,4,8,7,10,70.5,63
Belsize Park / St John's Wood,London,4,4,205,"Healthy, Salads, italian, lebanese",278,4.7924528301886795,53.0,146,6,4,8,7,10,70.5,64
Cardiff Bay Area,Cardiff,5,5,99,"Burgers, Latin American, italian, japanese, thai",144,4.777777777777778,18.0,153,8,6,8,4,10,70.0,65
Chichester,Portsmouth,4,4,161,"Burgers, italian, japanese, thai",237,4.133333333333334,30.0,202,6,4,10,7,6,69.5,66
Bromley,London,5,4,325,"Asian, Salads, italian, japanese",465,3.8135593220338984,59.0,216,6,6,10,7,4,69.5,67
Farnham,Camberley,3,3,191,"breakfast, italian, thai",306,4.673076923076923,52.0,210,4,2,10,7,10,68.5,68
Liverpool City Centre,Liverpool,6,4,210,"Latin American, Vietnamese, italian, japanese",307,4.2926829268292686,41.0,194,6,6,8,7,6,67.5,69
Newton Longville,Milton Keynes,5,4,129,"Asian, Sandwiches, italian, pizza",181,4.045454545454546,22.0,179,6,6,8,7,6,67.5,70
Royal Leamington Spa,Coventry,4,4,174,"Latin American, italian, japanese, thai",257,4.366666666666666,30.0,198,6,4,8,7,8,67.5,71
Dalston Stoke Newington,London,4,4,346,"Asian, halal, indian, italian",434,4.426470588235294,68.0,106,6,4,8,7,8,67.5,72
Canning Town,London,3,2,818,"Mediterranean, indian",1314,4.6702702702702705,185.0,134,2,2,8,10,10,67.0,73
Putney & Barnes,London,4,3,190,"Salads, italian, japanese",296,4.702127659574468,47.0,180,4,4,8,7,10,66.5,74
Sheffield City Centre,Sheffield,4,3,289,"Vietnamese, italian, japanese",442,4.267605633802817,71.0,205,4,4,10,7,6,65.5,75
Cribbs Causeway Shopping Centre,Bristol,5,4,153,"Latin American, Salads, italian, japanese",220,3.8666666666666667,30.0,194,6,6,8,7,4,64.5,76
Uxbridge,London,4,3,137,"italian, japanese, sushi",242,4.404761904761905,42.0,133,4,4,8,7,8,63.5,77
Epsom,London,5,3,195,"Asian, italian, sushi",292,4.125,32.0,191,4,6,8,7,6,63.5,78
Walton on Thames,London,4,3,181,"Asian, italian, japanese",275,4.472222222222222,36.0,154,4,4,8,7,8,63.5,79
Edinburgh North,Edinburgh,4,3,118,"Pho, Plus offers Oct 2024, japanese",345,4.4324324324324325,37.0,174,4,4,8,7,8,63.5,80
"Highgate, Muswell Hill, East Finchley",London,4,3,111,"Asian, indian, italian",168,4.416666666666667,24.0,126,4,4,8,7,8,63.5,81
Stevenage,London,3,3,235,"italian, japanese, thai",369,4.523076923076923,65.0,167,4,2,8,7,10,63.5,82
Didsbury and Withington,Manchester,3,3,120,"Featured Restaurants, italian, japanese",236,4.722222222222222,36.0,160,4,2,8,7,10,63.5,83
Basingstoke,Reading,4,3,332,"Latin American, italian, japanese",483,3.8333333333333335,66.0,249,4,4,10,7,4,62.5,84
Romford,London,3,2,284,"Asian, italian",434,4.43859649122807,57.0,214,2,2,10,7,8,61.5,85
Easton,Bristol,3,3,190,"Salads, italian, japanese",297,4.375,32.0,197,4,2,8,7,8,60.5,86
Wokingham,Camberley,2,2,110,"italian, thai",177,4.782608695652174,23.0,125,2,1,8,7,10,58.0,87
Henley on Thames,Reading,3,3,110,"Asian, italian, thai",181,4.277777777777778,18.0,147,4,2,8,7,6,57.5,88
West Bridgford,Nottingham,3,3,154,"italian, japanese, thai",239,4.291666666666667,48.0,142,4,2,8,7,6,57.5,89
Eccles,Manchester,3,3,116,"Burgers, Latin American, Salads",175,4.0256410256410255,39.0,170,4,2,8,7,6,57.5,90
