dish_clean,total_orders,kid_total,kid_friendly_measured,adult_total,adult_appeal_measured,portion_total,portion_flexibility_measured,value_at_25_measured,balanced_measured
egg noodles and korean chicken,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
fajita,1,1.0,5.0,1.0,5.0,1.0,5.0,,
fajita family meal for 3,1,,,1.0,5.0,1.0,5.0,5.0,
fajita family of three,1,,,1.0,5.0,1.0,5.0,5.0,5.0
fajita for 3 and churros,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
fajitas,7,3.0,5.0,7.0,5.0,7.0,4.0,3.0,2.0
fajitas for 3,1,,,1.0,5.0,1.0,5.0,5.0,5.0
fajitas for 4,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
falafel dinneroo platter,1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
falafel platter,1,,,1.0,5.0,1.0,1.0,5.0,5.0
family,2,1.0,1.0,2.0,5.0,2.0,5.0,2.0,
family - chicken katsu curry,1,,,1.0,5.0,1.0,5.0,5.0,
family 1,1,,,1.0,5.0,1.0,5.0,5.0,5.0
family box mix meal,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
family bundle,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
family bundle pho,1,,,1.0,5.0,1.0,5.0,5.0,5.0
family caesar,1,,,1.0,5.0,1.0,5.0,5.0,5.0
family chicken coconut + lemongrass curry,4,2.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0
family chicken coconut lemongrass curry,1,1.0,1.0,1.0,5.0,1.0,1.0,5.0,
family chicken katsu,5,3.0,5.0,5.0,5.0,5.0,3.0,4.0,1.0
family chicken katsu curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
family chicken ruby,1,,,1.0,5.0,1.0,5.0,5.0,
family chicken schwarma and a burger,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
family chicken shawarma,2,2.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0
"family chicken shawarma, burger style fries",1,1.0,5.0,1.0,1.0,1.0,5.0,,
family coconut curry chicken,1,,,1.0,5.0,1.0,1.0,5.0,
family coconut lemongrass curry for 2 adults and 2 kids,1,,,1.0,5.0,1.0,5.0,,
family curry,1,,,1.0,5.0,1.0,1.0,,5.0
family curry meal,1,,,1.0,5.0,1.0,5.0,5.0,
"family deal (cheese garlic bread, cheese pizza and tomato pasta)and a kids meal (dough balls, bolognaise, drink)",1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
family deal and salmon,1,1.0,1.0,1.0,5.0,1.0,1.0,,
family deal butter chicken,1,,,1.0,5.0,1.0,5.0,,
family deal vegetarian,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
family deal yellow curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
"family deal, dahl and jackfruit",1,,,1.0,5.0,1.0,5.0,,
family dinerroo,1,,,1.0,5.0,1.0,5.0,5.0,
family dinner,1,1.0,5.0,1.0,1.0,1.0,1.0,,
"family dinner - 2 x pho, 2 x rice",1,,,1.0,5.0,1.0,5.0,,
family dinner for £25,1,,,1.0,5.0,1.0,5.0,,
family dinner x2,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
family fajita meal deal 4 pieces,1,,,1.0,5.0,1.0,5.0,5.0,
family favourite feasts,1,1.0,5.0,1.0,1.0,1.0,1.0,5.0,
family favourites feast,1,,,1.0,5.0,1.0,5.0,5.0,
"family favourites feast, lemon & herb chicken wings",1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0
family feast 1 and fries,1,,,1.0,1.0,1.0,1.0,,
family feast for 2,1,,,1.0,5.0,1.0,5.0,,5.0
family feast for 4,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
family feast one,1,,,1.0,5.0,1.0,1.0,,5.0
"family feast which comes with a large pizza, a pasta and garlic. plus a additional pizza and brownies",1,1.0,1.0,1.0,1.0,1.0,5.0,,
family green curry and pad thai,1,1.0,5.0,1.0,5.0,1.0,1.0,,
family halloumi shawarma,1,1.0,1.0,1.0,5.0,1.0,5.0,,5.0
family katsu,5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0
family katsu chicken,2,1.0,5.0,2.0,5.0,2.0,5.0,5.0,
family katsu chicken curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
family katsu curry,4,4.0,4.0,4.0,5.0,4.0,2.0,2.0,1.0
family katsu dinner,1,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0
"family katsu, with rice & jasmine rice",1,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0
family mac and cheese,1,,,1.0,1.0,1.0,1.0,,
family mac and cheese with brisket,1,,,1.0,5.0,1.0,5.0,5.0,
family meal,8,5.0,4.0,8.0,4.0,8.0,3.0,4.0,
family meal - deliveroo family meal katsu curry,1,,,1.0,1.0,1.0,1.0,5.0,
family meal - harissa chicken,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0
family meal - katsu curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
family meal 1,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
family meal deal chicken katsu curry and chilli squid,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"family meal, the ruby murray and rice",1,,,1.0,5.0,1.0,5.0,,
family no chicken bundle,1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,
family offer - red curry,1,1.0,5.0,1.0,1.0,1.0,5.0,,
family pack,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
"family pasta deal, 2 large pasta's and a garlic bread",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
family pasta feast,1,,,1.0,1.0,1.0,1.0,,
family pho and pizza,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
family pho bundle,1,,,1.0,5.0,1.0,5.0,,
family pho deal,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"family pho deals, family curry deals",1,1.0,5.0,1.0,1.0,1.0,5.0,,
family pizza deal,1,1.0,5.0,1.0,5.0,1.0,5.0,,
family pizza pasta,1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
family platter,1,1.0,1.0,1.0,5.0,1.0,1.0,5.0,
family rice bowls,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
family ruby,1,1.0,5.0,1.0,5.0,1.0,5.0,,
family ruby chicken + samosas,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
family shawarma package,1,,,1.0,5.0,1.0,5.0,,
family shepherds pie,1,,,1.0,5.0,1.0,5.0,5.0,
family spicy chicken dinner combo,1,,,1.0,1.0,1.0,1.0,,
"family spicy set- chicken and basil chilli, pad thai and sticky chicken.",1,,,1.0,1.0,1.0,1.0,,
family sticky chicken bundle,1,,,1.0,5.0,1.0,5.0,5.0,
family thai curry bundle,2,1.0,1.0,2.0,5.0,2.0,2.0,2.0,
family thai option,1,1.0,5.0,1.0,5.0,1.0,5.0,,
family time coconut chicken,1,,,1.0,5.0,1.0,5.0,,
family vegan katsu,1,,,1.0,5.0,1.0,5.0,5.0,
family veggie feast,1,1.0,1.0,1.0,5.0,1.0,5.0,,5.0
family yasai katsu,2,1.0,5.0,2.0,5.0,2.0,5.0,2.0,
feast one (with caesar),1,,,1.0,1.0,1.0,1.0,,5.0
feed family,1,1.0,1.0,1.0,1.0,1.0,1.0,,
feed the family sushi deal (mostly salmon sushi),1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"fire cracker chicken, and katsu",1,,,1.0,5.0,1.0,5.0,5.0,
fire crackers chicken and katsu curry,1,,,1.0,5.0,1.0,5.0,5.0,
firecracker chicken,1,,,1.0,1.0,1.0,1.0,,
firecracker chicken bowl,1,,,1.0,5.0,1.0,5.0,5.0,5.0
"firecracker chicken, teriyaki chicken, chicken katsu curry",1,,,1.0,5.0,1.0,5.0,,
firecracker rice bowl. satsuma curry rice bowl,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
forgot,1,,,1.0,1.0,1.0,1.0,,5.0
four rices,1,,,1.0,5.0,1.0,5.0,5.0,
fresh from the wok,2,,,2.0,2.0,2.0,5.0,5.0,2.0
"fried chicken rice, broccoli and chili chicken",1,,,1.0,1.0,1.0,1.0,,
fried rice,5,1.0,5.0,5.0,4.0,5.0,5.0,3.0,1.0
fried rice x 4,1,,,1.0,5.0,1.0,5.0,5.0,
"fried rice, chicken curry and sautéed noodles",1,,,1.0,5.0,1.0,5.0,5.0,
"fried rice, pho",1,,,1.0,5.0,1.0,5.0,5.0,
"fried rice, vegan pho, beef pho, fried noodles",1,,,1.0,5.0,1.0,5.0,5.0,
fried rice/ wok noodles,1,1.0,5.0,1.0,1.0,1.0,1.0,5.0,
from the wok,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0
garlic bread lasagne and a mushroom pasta,1,1.0,5.0,1.0,1.0,1.0,1.0,5.0,
"garlic bread with mozzarella sharer, lasagna classica sharer, penne pasta sharer.",1,,,1.0,5.0,1.0,5.0,5.0,
"garlic bread, 2 kids pizzas and 1 large pizza",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"garlic ciabatta, lasagna x 2, chicken alfredo and mac and cheese",1,,,1.0,5.0,1.0,5.0,5.0,
gf garlic bread and lasagna,1,,,1.0,5.0,1.0,5.0,,
gluten free pizza and pasta,1,1.0,5.0,1.0,5.0,1.0,5.0,,
goat,1,,,1.0,5.0,1.0,5.0,,
good,1,1.0,1.0,1.0,5.0,1.0,1.0,,
green chicken curry,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
green curry,2,2.0,5.0,2.0,5.0,2.0,2.0,,
green curry pad thai,1,,,1.0,5.0,1.0,5.0,5.0,
green curry rice massaman curry crackers,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
green thai curry and pad thai,1,,,1.0,5.0,1.0,1.0,5.0,
grilled chicken bowls and children's chicken and noodle bowls,1,,,1.0,5.0,1.0,5.0,5.0,
haha,1,,,1.0,5.0,1.0,5.0,,
hainan chicken,1,,,1.0,5.0,1.0,5.0,,
halloumi flatbreads,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
halloumi shawarma,4,2.0,2.0,4.0,5.0,4.0,5.0,2.0,
hallumi shwarma,1,,,1.0,5.0,1.0,1.0,,
"harissa chicken, grains, mac n cheese, kale miso slaw",1,,,1.0,5.0,1.0,5.0,,5.0
"harissa chicken, sweet potato, mac and cheese, broccoli",1,,,1.0,5.0,1.0,5.0,5.0,5.0
honey chicken. fried rice. spring rolls,1,,,1.0,5.0,1.0,5.0,5.0,
hot favourites (noodle and rice bowls),1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
i cant remember,1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,
i don't remember! a curry of some sort and some sides,1,,,1.0,5.0,1.0,1.0,,
it's a curry night,1,,,1.0,5.0,1.0,5.0,5.0,
it's in my order history...,1,,,1.0,5.0,1.0,5.0,,
jackfruit biryani,1,,,1.0,1.0,1.0,1.0,,
jackfruit biryani and house black daal,1,,,1.0,5.0,1.0,5.0,5.0,
jackfruit biryani and naan,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
"jackfruit biryani, black dahl",1,,,1.0,5.0,1.0,1.0,,
"jackfruit biryani, dal",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
kastu curry feast,1,,,1.0,5.0,1.0,5.0,5.0,5.0
katsu,28,17.0,4.0,28.0,4.0,28.0,3.0,2.0,1.0
katsu and firecracker chicken,1,1.0,5.0,1.0,5.0,1.0,5.0,,
katsu and firecracker chicken rice bowls,1,,,1.0,5.0,1.0,5.0,5.0,
katsu and pad thai,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"katsu bowl, firecracker chicken bowl, teriyaki chicken bowl, korean egg",1,,,1.0,5.0,1.0,5.0,5.0,
katsu chicken,17,12.0,3.0,17.0,3.0,17.0,2.0,1.0,1.0
katsu chicken and firecracker chicken,1,1.0,5.0,1.0,5.0,1.0,5.0,,
katsu chicken and some extras for my parents,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
katsu chicken curry,4,2.0,2.0,4.0,5.0,4.0,4.0,2.0,
katsu chicken curry family meal and panchko prawns,1,1.0,5.0,1.0,5.0,1.0,5.0,,
katsu chicken family deal,1,1.0,5.0,1.0,5.0,1.0,5.0,,
katsu chicken rice,1,,,1.0,5.0,1.0,5.0,5.0,
katsu chxikencjrru,1,,,1.0,5.0,1.0,1.0,5.0,
katsu curries (family deal),1,1.0,5.0,1.0,1.0,1.0,1.0,,
katsu curry,64,39.0,4.0,64.0,5.0,63.0,3.0,2.0,1.0
katsu curry and chicken gyoza,1,1.0,5.0,1.0,5.0,1.0,5.0,,
katsu curry chicken,1,,,1.0,5.0,1.0,5.0,5.0,5.0
katsu curry chicken and chicken teriyaki and rice,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
katsu curry chicken family,1,,,1.0,5.0,1.0,5.0,5.0,
katsu curry chicken family meal,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
katsu curry deal,1,1.0,5.0,1.0,1.0,1.0,1.0,5.0,
katsu curry family,3,2.0,5.0,3.0,5.0,3.0,5.0,3.0,
katsu curry family deal and a few little extras,1,,,1.0,5.0,1.0,5.0,5.0,
katsu curry for 4,1,1.0,1.0,1.0,1.0,1.0,5.0,,
katsu curry meal deal,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
katsu curry meals,1,1.0,1.0,1.0,5.0,1.0,5.0,,
katsu curry offer,1,,,1.0,5.0,1.0,5.0,5.0,
katsu curry order,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
katsu curry rice bowel firecracker chicken rice bowel teriyaki chicken rice bowel,1,,,1.0,5.0,1.0,5.0,5.0,
katsu curry set,1,1.0,1.0,1.0,1.0,1.0,1.0,,
"katsu curry, chicken skewers, chicken gyoza and three different sushi dishes",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"katsu curry, edamame beans and small ramenaken",1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
"katsu curry, thai curry, chips",1,,,1.0,1.0,1.0,5.0,5.0,
katsu family,2,1.0,5.0,2.0,5.0,2.0,5.0,5.0,
katsu family deal,1,,,1.0,5.0,1.0,1.0,5.0,
katsu family dinner,1,,,1.0,5.0,1.0,5.0,5.0,
katsu family dish,1,1.0,5.0,1.0,5.0,1.0,5.0,,
katsu family meal,3,2.0,5.0,3.0,5.0,3.0,5.0,1.0,1.0
katsu meal,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
katsu rice bowls,1,,,1.0,5.0,1.0,5.0,,
katsu yasai,1,,,1.0,5.0,1.0,1.0,5.0,
katuse curry,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
"kids egg fried rice with chicken, kids mini chicken pho, 2 adult vietnamese curries",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"kids mild chicken massaman & jasmine rice (574 kcal), thai red curry vegetable & jasmine rice (771 kcal), kids sticky chicken (348 kcal)",1,,,1.0,5.0,1.0,5.0,5.0,
"kids nuggets, aioli chicken, satay chicken and falafel bowl",1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0
ktsu chicken,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
large pizza and pasta sharer,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
"large pizza, pasta and garlic bread",1,,,1.0,5.0,1.0,5.0,,
lasagna,4,3.0,1.0,4.0,4.0,4.0,4.0,1.0,
lasagna + pasta,1,,,1.0,1.0,1.0,5.0,,
lasagna and garlic bread,1,,,1.0,5.0,1.0,1.0,5.0,
lasagna and macaroni and cheese.,1,1.0,5.0,1.0,5.0,1.0,5.0,,
lasagna and pasta bake,1,1.0,5.0,1.0,5.0,1.0,5.0,,
lasagna and pizza,1,1.0,5.0,1.0,5.0,1.0,5.0,,
lasagna and salad,1,,,1.0,5.0,1.0,5.0,5.0,
lasagna family pack,1,,,1.0,5.0,1.0,5.0,5.0,
lasagna meal for 4,1,,,1.0,5.0,1.0,1.0,5.0,5.0
"lasagna, pesto and chicken penne pasta",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"lasagna, salad, large pizza, mozzarella garlic bread, lemon & herb chicken wings, chicken gougons",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"lasagna, tomato and basil pasta",1,1.0,5.0,1.0,1.0,1.0,5.0,,
lasagna. pizza and salad,1,,,1.0,1.0,1.0,5.0,,
lasagne,6,3.0,3.0,6.0,4.0,6.0,3.0,1.0,
lasagne & chicken alfredo,1,,,1.0,5.0,1.0,5.0,5.0,
"lasagne and chicken, mushroom & pesto pasta",1,,,1.0,5.0,1.0,5.0,5.0,
lasagne and garlic pizza bread,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
lasagne and pepperoni pizza,1,,,1.0,5.0,1.0,5.0,5.0,
lasagne carbonara and chicken alfredo,1,,,1.0,5.0,1.0,5.0,5.0,
lasagne garlic bread,1,,,1.0,1.0,1.0,5.0,,
lasagne x2 & garlic bread,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
lasagne x2 and salad,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"lasagne, and chicken alfredo",1,1.0,1.0,1.0,5.0,1.0,1.0,,
"lasagne, cheesy garlic bread, american pizza",1,,,1.0,5.0,1.0,5.0,5.0,
"lasagne, chicken pesto pasta, garlic bread",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"lasagne, garlic bread, chicken pesto pasta",1,,,1.0,5.0,1.0,5.0,,
"lasagne, mac & cheese, chicken alfredo, rigatoni",1,,,1.0,1.0,1.0,5.0,5.0,
"lasagne, pasta and garlic bread",2,,,2.0,5.0,2.0,5.0,5.0,
"lasagne, pizza and garlic bread",1,,,1.0,1.0,1.0,5.0,5.0,
lemon grass curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
lemongrass curries and rice,1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,
little rice bowls family bundle,1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0
loads of different ones,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
mac + cheese & tomato red pepper rigatoni,1,,,1.0,5.0,1.0,5.0,,
mac and  cheese,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
mac and brisket,1,1.0,5.0,1.0,5.0,1.0,5.0,,
mac and cheese,5,3.0,5.0,5.0,4.0,5.0,3.0,2.0,
mac and cheese brisket,1,,,1.0,5.0,1.0,5.0,,
mac and cheese with bacon,1,1.0,5.0,1.0,5.0,1.0,5.0,,
mac and cheese with brisket,2,2.0,2.0,2.0,5.0,2.0,5.0,,
"mac and cheese with brisket, flatbread and a side of veg.",1,,,1.0,5.0,1.0,1.0,5.0,
"mac and cheese with chargrilled chicken, with added bacon and onions",1,,,1.0,5.0,1.0,5.0,5.0,
mac and cheese with chicken,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
mac and cheese with onion and bacon plus calamari,1,,,1.0,1.0,1.0,5.0,,
"mac and cheese, chicken alfredo and tomato pasta",1,,,1.0,5.0,1.0,5.0,5.0,
mac cheese,1,,,1.0,1.0,1.0,5.0,,
mac n cheese,3,,,3.0,3.0,3.0,3.0,3.0,1.0
mac n cheese with brisket. seasonal veg,1,,,1.0,5.0,1.0,5.0,5.0,
"mac n cheese with chicken, calamari, corn ribs, loaded hash browns",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"mac n cheese, fries, chicken alfredo",1,1.0,5.0,1.0,1.0,1.0,1.0,,
mac'n'cheese,2,1.0,5.0,2.0,5.0,2.0,5.0,,
macaroni and chicken,1,,,1.0,1.0,1.0,5.0,,
macaroni cheese,6,2.0,2.0,6.0,5.0,6.0,4.0,4.0,
"macaroni cheese x2, lasagna & chicken al fredo",2,,,2.0,5.0,2.0,5.0,5.0,
macaroni with chicken,1,,,1.0,1.0,1.0,5.0,,
many,1,,,1.0,5.0,1.0,5.0,5.0,
"margarita pizza, mozzarella garlic bread, chicken pesto pasta",1,1.0,5.0,1.0,5.0,1.0,5.0,,
margherita pizza and tomato pasta,1,1.0,5.0,1.0,5.0,1.0,1.0,,
"margherita pizza, chicken and pesto pasta and cheesy garlic bread",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
marsh curry firecracker,1,1.0,1.0,1.0,1.0,1.0,1.0,,
masai katsu curry,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
massaman curry,1,,,1.0,5.0,1.0,5.0,5.0,
"massaman, pad thai and crispy chicken",1,,,1.0,5.0,1.0,1.0,5.0,
matar paneer family dish,1,,,1.0,5.0,1.0,1.0,5.0,
matar paneer meal,1,,,1.0,5.0,1.0,5.0,5.0,
matta paneer meal,1,,,1.0,5.0,1.0,5.0,,
mattar paneer,4,1.0,5.0,4.0,5.0,4.0,2.0,4.0,
"mattar paneer, lentil daal",1,,,1.0,5.0,1.0,5.0,5.0,
"mattar paneer, which came with black daal, rice, and an appetizer",1,,,1.0,5.0,1.0,1.0,,
mattar panner for the family,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0
matter paneer,1,,,1.0,5.0,1.0,5.0,5.0,
"matter paneer, daal, rice, popadum",1,,,1.0,5.0,1.0,5.0,5.0,5.0
meal 4,1,,,1.0,1.0,1.0,5.0,,
meal deal,1,,,1.0,5.0,1.0,5.0,5.0,
meal for 2,1,,,1.0,5.0,1.0,5.0,5.0,5.0
mini chicken rice with dumpling sides,1,,,1.0,5.0,1.0,1.0,5.0,
mix & match family bundle,2,,,2.0,5.0,2.0,5.0,5.0,
mix & match family dinner,1,,,1.0,5.0,1.0,5.0,5.0,5.0
mix and match family bowls,1,,,1.0,5.0,1.0,5.0,5.0,
mix match bowls,1,,,1.0,5.0,1.0,5.0,,5.0
mix n match rice bowl bundle,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
mix n match rice bowl bundle for four firecracker chicken rice bowl firecracker chicken rice bowl chicken teriyaki rice bowl katsu chicken rice bowl w duck spring rolls,1,,,1.0,1.0,1.0,5.0,5.0,
mix n match rice bowls bundle for four: 2 chicken teriyaki rice bowl and 2 katsu chicken rice bowls,1,,,1.0,5.0,1.0,5.0,5.0,
mix of 4,1,,,1.0,5.0,1.0,5.0,5.0,
mix rice dish,1,1.0,5.0,1.0,5.0,1.0,5.0,,
mixed bundle for 4,2,1.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0
"mixed bundle: chicken and mushroom fajitas, meat and vegetarian chillis",1,,,1.0,5.0,1.0,5.0,,
mixed family meal,1,1.0,1.0,1.0,5.0,1.0,5.0,,
mixed grill,1,,,1.0,5.0,1.0,1.0,,
mixed rice bowl bundle,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
mozzarella flatbread and tomato and mozzarella pasta,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
multiple,1,,,1.0,5.0,1.0,1.0,,
"mushroom and tofu curry, mini noodles, mini pho",1,,,1.0,5.0,1.0,5.0,,
mushroom fajitas and rice,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
mushroom shawarma,1,,,1.0,5.0,1.0,5.0,,
mushrron and chicken fajitas with veg chilli,1,,,1.0,5.0,1.0,5.0,5.0,
mutter paneer,1,,,1.0,5.0,1.0,5.0,,
noddles,1,,,1.0,5.0,1.0,5.0,5.0,
noodle bundle,1,,,1.0,5.0,1.0,5.0,5.0,
noodle soup,1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
noodle soup/pho,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
noodle soups,1,1.0,1.0,1.0,1.0,1.0,5.0,,5.0
"noodle soups, chicken salad, kids soup.",1,,,1.0,5.0,1.0,5.0,5.0,
"noodle, fried rice, rice chicken",1,,,1.0,5.0,1.0,5.0,,
noodles,3,2.0,5.0,3.0,5.0,3.0,3.0,,
noodles & spicy soup,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
noodles and egg fried rice,1,,,1.0,5.0,1.0,1.0,,
noodles and pad thai spring rolls,1,1.0,1.0,1.0,5.0,1.0,5.0,,
noodles and rice,5,3.0,5.0,5.0,4.0,5.0,4.0,2.0,2.0
"noodles chicken, noodle rice",1,,,1.0,5.0,1.0,5.0,,
noodles rice snd wings,1,,,1.0,1.0,1.0,1.0,5.0,
"noodles soup, kid's stir-fry noodles",1,,,1.0,5.0,1.0,5.0,,
"noodles, chicken and tofu",1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0
"noodles, egg fried rice, chicken curry",1,,,1.0,5.0,1.0,5.0,5.0,
"noodles, pho, 2 rice bowls",1,,,1.0,5.0,1.0,5.0,,
"noodles, pho, rice wok, all vegan",1,,,1.0,1.0,1.0,5.0,,5.0
old delhi chicken,1,,,1.0,5.0,1.0,1.0,,
once i ordered pad thai. other time i ordered rice bowls,1,,,1.0,1.0,1.0,1.0,,
ordered the family mac and cheese along with 2 desserts,1,1.0,1.0,1.0,5.0,1.0,1.0,,
"ordered twice, once spicy chicken pho x2 & second time. vermicelli chicken thigh bowl and the chicken salad",1,,,1.0,5.0,1.0,5.0,5.0,5.0
pad gra praow ad massaman chicken,1,,,1.0,5.0,1.0,5.0,,
"pad kra pow chicken with rice, squid and moo ping",1,,,1.0,5.0,1.0,1.0,,
pad tai x 4,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"pad tha, green curry",1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,
pad thai,24,9.0,4.0,24.0,5.0,24.0,4.0,4.0,
pad thai (chicken and 1 tofu),1,1.0,5.0,1.0,5.0,1.0,5.0,,
pad thai (chicken and prawns),1,,,1.0,5.0,1.0,5.0,,
pad thai a d curry,1,1.0,1.0,1.0,1.0,1.0,1.0,,
pad thai and green thai curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
pad thai chickem,1,,,1.0,5.0,1.0,5.0,,
pad thai chicken x4,1,,,1.0,5.0,1.0,5.0,5.0,
pad thai family meal,2,1.0,5.0,2.0,5.0,2.0,5.0,5.0,
pad thai meal,1,,,1.0,5.0,1.0,5.0,5.0,5.0
pad thai n three sides,1,,,1.0,5.0,1.0,5.0,5.0,
pad thai or rice bowl,1,,,1.0,5.0,1.0,5.0,5.0,
pad thai tofu x4,1,,,1.0,5.0,1.0,5.0,,
pad thai x4,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"pad thai, 2 x chicken, 2 x tofu",1,,,1.0,5.0,1.0,5.0,5.0,
"pad thai, corn fritters, fish cakes, broccoli",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"pad thai, firecracker noodles, singapore laska",1,,,1.0,5.0,1.0,5.0,5.0,
"pad thai, squid",1,,,1.0,1.0,1.0,5.0,,
paneer,3,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0
paneer curry,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
paneer deal and sides.,1,,,1.0,5.0,1.0,1.0,5.0,
"paneer, dal , rice combo",1,,,1.0,5.0,1.0,5.0,5.0,
panko chicken,1,1.0,5.0,1.0,1.0,1.0,5.0,5.0,
pasta,8,1.0,5.0,8.0,3.0,8.0,4.0,2.0,
"pasta (family size), margherita pizza, salad",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
pasta and chips,1,,,1.0,5.0,1.0,5.0,5.0,
pasta and garlic bread,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
pasta and lasagne,1,,,1.0,5.0,1.0,5.0,,
pasta combo,1,,,1.0,1.0,1.0,5.0,,5.0
pasta pizza dough ball's calamari,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
pasta pizza garlic bread,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
