dish_clean,total_orders,kid_total,kid_friendly_measured,adult_total,adult_appeal_measured,portion_total,portion_flexibility_measured,value_at_25_measured,balanced_measured
beef pho x2 chicken fried rice and chicken noodles,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"beef pho x2, chicken pho and noodles",1,,,1.0,5.0,1.0,5.0,,5.0
"beef pho, chicken pho, chicken noodles",1,,,1.0,5.0,1.0,5.0,,
"beef pho, chicken pho, fried rice ad fried noodles",1,,,1.0,5.0,1.0,5.0,,
"beef pho, chicken pho, fried rice chicken, noodles chicken, prawn crackers",1,,,1.0,5.0,1.0,5.0,,5.0
"beef pho, spicy beef pho, kids chicken pho, kids pad thai",1,,,1.0,5.0,1.0,5.0,5.0,
"beef pho, tofu pho, egg fried rice",1,,,1.0,5.0,1.0,5.0,5.0,
beef poh,1,,,1.0,5.0,1.0,1.0,,
"beef ramen, kids rice and noodle dish",1,,,1.0,5.0,1.0,5.0,5.0,
berry biryani,1,,,1.0,5.0,1.0,5.0,,
berry chicken biriyani,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
biriyani,1,,,1.0,5.0,1.0,1.0,,
biriyani meal deal. very good.,1,,,1.0,5.0,1.0,5.0,5.0,
"biriyani, dhal and roti",1,1.0,5.0,1.0,5.0,1.0,5.0,,
biryani,7,3.0,1.0,7.0,3.0,7.0,2.0,2.0,1.0
biryani family meal,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
biryani with daal and raita,1,,,1.0,5.0,1.0,5.0,5.0,
"biryani, daal",1,,,1.0,5.0,1.0,5.0,,
bit of everything,1,,,1.0,5.0,1.0,5.0,,
black daal and ruby chicken,1,,,1.0,5.0,1.0,5.0,5.0,
"blackbean rice box, chicken satay rice box, kids chicken rice box, kids chicken nuggets, fries.",1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
"bonfire chicken, kids squid and kids pad thai",1,1.0,5.0,1.0,1.0,1.0,1.0,5.0,
"brazilian beans and rice, satay chicken and rice, falafel and rice, aioli chicken and rice",1,1.0,5.0,1.0,5.0,1.0,5.0,,
brisket curry,1,,,1.0,5.0,1.0,5.0,,
"brisket curry, chicken curry, 2x kids egg fried rice",1,,,1.0,5.0,1.0,5.0,5.0,
"brisket noodle soup x 2, rice with chicken, noodles with chicken.",1,,,1.0,5.0,1.0,5.0,5.0,
britannia biryani,1,1.0,1.0,1.0,5.0,1.0,1.0,,5.0
britannia chicken biryani meal,1,,,1.0,5.0,1.0,1.0,5.0,
british biriyani,1,1.0,5.0,1.0,5.0,1.0,5.0,,
briyani,1,,,1.0,1.0,1.0,5.0,,
bundle,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
butter chicken,10,5.0,2.0,10.0,4.0,10.0,3.0,2.0,
butter chicken family meal,1,,,1.0,5.0,1.0,5.0,5.0,
butter chicken rice naan chips,1,1.0,5.0,1.0,5.0,1.0,5.0,,
butter chicken set,1,,,1.0,5.0,1.0,5.0,,
butter chicken £25 family deal,1,,,1.0,1.0,1.0,1.0,,
butter ruby family meal,1,,,1.0,5.0,1.0,1.0,,
byriani chicken,2,1.0,1.0,2.0,5.0,2.0,5.0,2.0,
can't rem,1,1.0,5.0,1.0,1.0,1.0,1.0,5.0,
can't remember,1,,,1.0,1.0,1.0,1.0,,
