dish_type,cuisine,on_dinneroo,mapped_cuisine,non_dinneroo_orders,gap_signal,dinneroo_available_in_cuisine,latent_mentions,wishlist_pct,gap_type,gap_score,order_volume,avg_rating,kids_happy,kids_score,rating_score,open_text_requests,og_wishlist_pct,latent_demand_score,orders_per_zone_SCORE,rating_SCORE,kids_happy_SCORE,non_dinneroo_SCORE,latent_raw,latent_demand_SCORE,PERFORMANCE_60pct,DEMAND_40pct,UNIFIED_SCORE,strategic_priority,rank
Roast Dinner,British,True,british,3087.0,Medium,No,1,4.7,No Gap,2,0.0,4.0,0.75,,,1,4.7,1,2.0,2.0,3.0,3.0,10.4,4.0,2.166666666666667,3.5,2.7,Preference Driver,26
Shepherd's Pie,British,True,british,3087.0,Medium,No,3,0.0,No Gap,2,0.0,4.0,0.75,,,3,0.0,1,2.0,2.0,3.0,3.0,3.0,4.0,2.166666666666667,3.5,2.7,Preference Driver,27
Bangers & Mash,British,False,british,3087.0,Medium,No,0,6.19,No Gap,2,0.0,4.0,0.75,,,0,6.19,1,2.0,2.0,3.0,3.0,12.38,4.0,2.166666666666667,3.5,2.7,Preference Driver,28
Fish & Chips,Global,True,,25.0,Medium,Yes,5,8.91,No Gap,2,0.0,4.0,0.75,,,5,8.91,2,2.0,2.0,3.0,1.0,22.82,5.0,2.166666666666667,3.0,2.5,Preference Driver,29
Stir Fry,Global,True,,25.0,Medium,Yes,0,0.0,No Gap,2,61.0,4.4,0.0,3.0,4.0,0,0.0,1,3.0,4.0,1.0,1.0,0.0,2.0,2.9166666666666665,1.5,2.3499999999999996,Deprioritised,30
Korean Fried Chicken,Korean,True,korean,1807.0,Low,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0,2.166666666666667,2.5,2.3,Deprioritised,31
Poke Bowl,Healthy/Fresh,True,healthy,1594.0,Available,Yes,1,0.0,No Gap,2,0.0,4.0,0.75,,,1,0.0,1,2.0,2.0,3.0,2.0,1.0,3.0,2.166666666666667,2.5,2.3,Deprioritised,32
Souvlaki,Greek,False,greek,1890.0,Low,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0,2.166666666666667,2.5,2.3,Deprioritised,33
Bibimbap,Korean,False,korean,1807.0,Low,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0,2.166666666666667,2.5,2.3,Deprioritised,34
Cottage Pie,British,False,british,3087.0,Medium,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0,2.166666666666667,2.5,2.3,Deprioritised,35
