rank,dish_type,cuisine,on_dinneroo,unified_score,performance_score,opportunity_score,tier,quadrant,order_volume,zone_count,orders_per_zone,kids_happy,is_core_driver,perf_opz_score,perf_rating_score,perf_kids_score,opp_latent_score,opp_nondin_score
44,Satay,,True,2.15,2.25,2.0,Tier 4: Monitor,Deprioritised,,,,0.8,False,1,4,4,2,2
45,Grilled Chicken,,True,2.1,2.17,2.0,Tier 4: Monitor,Deprioritised,,,,1.0,False,1,3,5,2,2
46,Chicken Nuggets,,True,2.1,2.5,1.5,Tier 4: Monitor,Deprioritised,,,,0.8,False,1,5,4,1,2
47,Greek Mezze,Greek,False,2.05,2.42,1.5,Tier 4: Monitor,Deprioritised,7.0,,7.0,,False,2,3,3,1,2
48,Tikka Masala,Indian,True,2.05,2.42,1.5,Tier 4: Monitor,Deprioritised,19.0,,19.0,,False,2,3,3,1,2
49,Chilli,,True,1.9,1.83,2.0,Tier 4: Monitor,Deprioritised,,,,0.7,False,1,3,3,2,2
50,Spring Rolls,,True,1.85,2.08,1.5,Tier 4: Monitor,Deprioritised,,,,0.7,False,1,4,3,1,2
51,Samosa,,True,1.8,2.0,1.5,Tier 4: Monitor,Deprioritised,,,,0.46,False,1,5,1,1,2
52,Wings,,True,1.8,2.0,1.5,Tier 4: Monitor,Deprioritised,,,,0.82,False,1,3,4,1,2
53,Buddha Bowl,Healthy/Fresh,False,1.7,1.83,1.5,Tier 4: Monitor,Deprioritised,0.0,,,,False,1,3,3,1,2
54,Burrito,Mexican,False,1.7,1.83,1.5,Tier 4: Monitor,Deprioritised,3.0,,3.0,,False,1,3,3,1,2
55,Souvlaki,Greek,False,1.7,1.83,1.5,Tier 4: Monitor,Deprioritised,0.0,,,,False,1,3,3,1,2
56,Cottage Pie,British,False,1.7,1.83,1.5,Tier 4: Monitor,Deprioritised,0.0,,,,False,1,3,3,1,2
57,Bibimbap,Korean,False,1.7,1.83,1.5,Tier 4: Monitor,Deprioritised,0.0,,,,False,1,3,3,1,2
58,Soup,,True,1.7,1.5,2.0,Tier 4: Monitor,Deprioritised,,,,0.75,False,1,1,4,2,2
59,Dim Sum,Chinese,False,1.7,1.83,1.5,Tier 4: Monitor,Deprioritised,0.0,,,,False,1,3,3,1,2
60,Rotisserie Chicken,Global,False,1.7,1.83,1.5,Tier 4: Monitor,Deprioritised,0.0,,,,False,1,3,3,1,2
61,Korma,Indian,False,1.7,1.83,1.5,Tier 4: Monitor,Deprioritised,0.0,,,,False,1,3,3,1,2
62,Bangers & Mash,British,False,1.7,1.83,1.5,Tier 4: Monitor,Deprioritised,0.0,,,,False,1,3,3,1,2
