response_id,source_file,dish_text_raw,mapped_dish_type,mapping_method,is_family_survey,child_reaction_values,is_full_and_happy,included_in_denominator
200,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Lasagne, chicken pesto pasta, garlic bread",Lasagne,anna_map,True,They ate all parts of the dish and were full and happy,1,1
201,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Chicken, salad, potatoes",Protein & Veg,anna_map,False,,0,0
202,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Family meal, the ruby Murray and rice",South Asian / Indian Curry,anna_map,False,,0,0
203,POST_ORDER_SURVEY-CONSOLIDATED.csv,"2 katsus, 1 teriyaki and 1 spicy chicken",Noodles,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate some parts of the dish, but were full and happy",1,1
204,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Pho, Fried rice.",Pho,anna_map,True,,0,0
205,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pizza and pasta,Pizza,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
206,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken,Grain Bowl,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
207,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curry and stir fry,East Asian Curry,anna_map,True,They ate all parts of the dish and were full and happy,1,1
208,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pad thai,Noodles,anna_map,False,,0,0
209,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Pizza, pasta, garlic bread",Pizza,anna_map,True,"They ate some parts of the dish, but not as much as I wanted|They tried some parts but didn't eat much at all",0,1
210,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken ruby,South Asian / Indian Curry,anna_map,False,,0,0
211,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu,Katsu,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
212,POST_ORDER_SURVEY-CONSOLIDATED.csv,katsu curry,Katsu,anna_map,False,,0,0
213,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
214,POST_ORDER_SURVEY-CONSOLIDATED.csv,Family bundle pho,Pho,anna_map,False,,0,0
215,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
216,POST_ORDER_SURVEY-CONSOLIDATED.csv,Sticky chicken,Rice Bowl,anna_map,False,,0,0
217,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pad Thai and green Thai curry,East Asian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate all parts of the dish and were full and happy",1,1
218,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken ruby family dinneroo,South Asian / Indian Curry,anna_map,False,,0,0
219,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,"They ate some parts of the dish, but were full and happy",1,0
220,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pizza,Pizza,anna_map,True,They ate all parts of the dish and were full and happy,1,1
222,POST_ORDER_SURVEY-CONSOLIDATED.csv,Cottage pie,Shepherd's Pie,anna_map,True,They ate all parts of the dish and were full and happy,1,1
223,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken and rice,Grain Bowl,anna_map,True,They ate all parts of the dish and were full and happy,1,1
224,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry,Katsu,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
225,POST_ORDER_SURVEY-CONSOLIDATED.csv,Rice bowls,Rice Bowl,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate some parts of the dish, but were full and happy",1,1
227,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
226,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken Ruby,South Asian / Indian Curry,anna_map,True,,0,0
228,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken ruby,South Asian / Indian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
229,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken Ruby Meal,South Asian / Indian Curry,anna_map,False,,0,0
230,POST_ORDER_SURVEY-CONSOLIDATED.csv,Lasagna,Lasagne,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
176,POST_ORDER_SURVEY-CONSOLIDATED.csv,"2 pho soups, egg fried rice and noodles",Pho,anna_map,False,,0,0
231,POST_ORDER_SURVEY-CONSOLIDATED.csv,2 pho + 2 noodles,Pho,anna_map,True,"They ate some parts of the dish, but not as much as I wanted|They ate some parts of the dish, but not as much as I wanted",0,1
232,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Pho the whole fam (prawn crackers, 2x beef brisket pho noodle soup, 2x egg fried rice chicken)",Pho,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
233,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
234,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
235,POST_ORDER_SURVEY-CONSOLIDATED.csv,Beef brisket,,unmapped,False,,0,0
221,POST_ORDER_SURVEY-CONSOLIDATED.csv,Butter ruby family meal,South Asian / Indian Curry,anna_map,False,,0,0
236,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Classic chicken curry, classic beef brisket curry, wok-fried noodles with chicken, and mini chicken noodle soup",East Asian Curry,anna_map,False,,0,0
237,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
238,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Matter paneer, daal, rice, popadum",South Asian / Indian Curry,anna_map,True,,0,0
239,POST_ORDER_SURVEY-CONSOLIDATED.csv,Special fried rice,Fried Rice,anna_map,False,,0,0
240,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
241,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
242,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
196,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Curry,  rice and noodles",East Asian Curry,anna_map,True,"They didn't try any of it|They ate some parts of the dish, but not as much as I wanted",0,1
