brand,item,cuisine,high_level_dish,granular_dish,protein
Iro Sushi,Veggie Wok Party,Asian,Noodles,Yakisoba,Vegetarian
Las Iguanas,Mixed Bundle For Four,Mexican,Fajitas,Fajitas,Mushroom Chicken Prawn
Milano,Family Favourites Feast,Italian,Pasta,Lasagne Penne,Beef Chicken Tomato
Pho,Fresh from the wok,Asian,Fried Rice,Wok-Fried Rice,Chicken
SOYO-SGroup,Family Rice noodles stir fried,Asian,Noodles,Rice Noodles,Vegetarian
Ting Thai,Pad Thai Family Meal,Asian,Noodles,Pad Thai,Chicken Beef Prawn
Ting Thai,Mee Gratiam Family Meal,Asian,Noodles,Wok-Fried Noodles,Chicken Beef Prawn Duck
Zumuku,Chicken Yakisoba,Asian,Noodles,Yakisoba,Chicken
Shaku Maku,Shaku Maku Family Platter (Maqluba + chicken rolls + fatoush salad + hummus + baba ghanoush with bread),Middle Eastern,Other,Maqluba,Chicken
TUK TUK-SGroup,Wings Fries & Beansprout Salad,Asian,Other,Chicken Wings,Chicken
Umi Falafel,Family Mezze Feast ( Lentil soup + hummus + baba ghanoush + 20pc falafel +Haloumi sticks + bread and tahini sauce ),Middle Eastern,Other,Mezze,Falafel Halloumi
Bella Italia,Mix & Match Family Bundle,Italian,Pasta,Lasagne Mac & Cheese Rigatoni Alfredo,Chicken Beef
Bella Italia,Chicken Alfredo Family Bundle,Italian,Pasta,Alfredo,Chicken
Bella Italia,Mac & Cheese Family Bundle,Italian,Pasta,Mac & Cheese,Vegetarian
Bella Italia,Tomato & Red Pepper Rigatoni Family Bundle,Italian,Pasta,Rigatoni,Tomato Red Pepper
Bill's,Family Mac N Cheese with Brisket,Italian,Pasta,Mac & Cheese,Beef
Bill's,Family Mac N Cheese,Italian,Pasta,Mac & Cheese,Vegetarian
Bill's,Family Mac N Cheese with Bacon,Italian,Pasta,Mac & Cheese,Pork
Bill's,Family Mac N Cheese with Chicken,Italian,Pasta,Mac & Cheese,Chicken
Cacciari's,Penne Porcini and Wild Mushrooms Suitable for a Family of 4,Italian,Pasta,Penne,Mushroom
Cacciari's,Penne with Traditional basil pesto Suitable for a Family of 4,Italian,Pasta,Penne,Vegetarian
Milano,Family Pasta Feast,Italian,Pasta,Lasagne Penne,Beef Chicken Tomato
Pho,Fresh from the wok,Asian,Noodles,Wok-Fried Noodles,Chicken Tofu Mushroom
PIZAZA-SGroup,Family Rose Pasta,Italian,Pasta,Rose Pasta,Tomato
PIZAZA-SGroup,Family Alfredo Pasta,Italian,Pasta,Alfredo,Mushroom
PIZAZA-SGroup,Family Tomato Sauce Pasta,Italian,Pasta,Penne,Tomato
PizzaExpress,Family Pasta Feast,Italian,Pasta,Lasagne Penne,Beef Chicken Tomato
PizzaExpress,Family Favourites Feast,Italian,Pasta,Lasagne Penne,Beef Chicken Tomato
Prezzo,Super Veg Bolognese Rigatoni,Italian,Pasta,Bolognese,Beef
Prezzo,Super Green Pesto Rigatoni,Italian,Pasta,Rigatoni,Vegetarian
Prezzo,Marinara & Hidden Veg Rigatoni,Italian,Pasta,Rigatoni,Tomato
Prezzo,Family Dinneroo,Italian,Pasta,Rigatoni Carbonara,Tomato Chicken Pork
SOYO-SGroup,Family Rose Pasta Bake,Italian,Pasta,Pasta Bake,Tomato
SOYO-SGroup,Family Pasta Bake,Italian,Pasta,Pasta Bake,Vegetarian
