cuisine,core_category,level,performance_score,opportunity_score,unified_score,quadrant,zones_available,orders_per_zone,repeat_rate,performance_status
Morrisons,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Movie Night Restaurants,Other,other,,1.8,1.8,Watch,0,0.0,16.7,Insufficient zones
North Indian,Indian,sub,,1.8,1.8,Watch,0,0.0,0.0,No data
North England Exclusives,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
North African,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Plus Member Offers,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Nigerian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Nfl Big Game Night,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
New To Roo,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
New To Deliveroo,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
New On Roo,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
New Flavours,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
New Customer 20% Off Watford,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Nepalese,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Neapolitan,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Nachos,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Movie Night Snacks,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Plus April,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Project Love - August,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Plus Offers July,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Tibetan,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Tea,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Tapas,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Takeaways,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Taiwanese,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Tacos,Mexican,sub,,1.8,1.8,Watch,0,0.0,5.1,Insufficient zones
Syrian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Sweet Treats,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Supermarket,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Street Food,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Stir Fry,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Steak,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
"Stationary, Cards & Books",Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Sri Lankan,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Spring Summer Free Delivery,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Spicy Nuggets,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
The Feed,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Tip Match,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Spanish,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Tunisian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
£10 Off Groceries And Shopping,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Yoghurt,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Wraps,Other,other,,1.8,1.8,Watch,0,0.0,10.4,Insufficient zones
Wing Fest 2025,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Wine,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Win With Coca-Cola,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Western,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Waitrose,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Waffles,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Vegetarian,Other,other,,1.8,1.8,Watch,0,0.0,,Insufficient zones
Veganuary,Other,other,,1.8,1.8,Watch,0,0.0,9.5,Insufficient zones
Vegan Friendly,Other,other,,1.8,1.8,Watch,0,0.0,20.2,Insufficient zones
Vegan,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Up To 50% Off Holiday Essentials,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Unilever Esports,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Specialist Stores,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
South Indian,Indian,sub,,1.8,1.8,Watch,0,0.0,0.0,No data
Plus Offers Oct 2024,Other,other,,1.8,1.8,Watch,0,0.0,7.8,Insufficient zones
Roasteries,Other,other,,1.8,1.8,Watch,0,0.0,10.5,Insufficient zones
Rice,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Restaurants Only On Deliveroo,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Restaurants In Your Area,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Restaurant Award Winners 2024,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Ramen,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Ramadan 2025,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Quick Service Restaurants,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Protein Shops,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Project Love - December,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Local Offers (Uk),Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Popular Restaurants,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Polish,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Poké,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Poke,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Plus Offers September,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Roast,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Romanian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
South African,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Royally Good Offers,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Soup,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Snacks,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Smoothie,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Smash Burger,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Singaporean,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Sichuan Spicy,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Sichuan,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Shopping-Popular-Brands,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Shopping,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Sheffield Free Delivery,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Shawarma,Middle Eastern,sub,,1.8,1.8,Watch,0,0.0,19.4,Insufficient zones
Service Guarantee,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Seafood,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Sandwiches,Other,other,,1.8,1.8,Watch,0,0.0,11.4,Insufficient zones
Russian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Love Local Takeaway,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Kebab,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Local Gems,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Chocolate,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Cold & Flu,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Coffee,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Coca-Cola Christmas Ni,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Coca Cola Zero Sugar Competition,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Churros,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Christmas Specials,Other,other,,1.8,1.8,Watch,0,0.0,12.1,Insufficient zones
Chopstix Lny,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Chips,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Breakfast & Brunch,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Caribbean,NEW,new,,1.8,1.8,Watch,0,0.0,0.0,No data
Cantonese,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Canadian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Cakes,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Café,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Burritos,Mexican,sub,,1.8,1.8,Watch,0,0.0,11.8,Insufficient zones
Bubble Tea,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Comfort Food,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Convenience,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Convenience Stores,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Cook From Home,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Doughnuts,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Donuts,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Doner Kebab,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Diy Stores,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Discovery Wines & Spirits,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Dim Sum,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Desserts And Sweet Dishes,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Dessert,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Deliveroo Students Offers,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Deliveroo Hop,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Deliveroo Editions,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Deliveroo Dinner Party,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Curated Plus Diamond Carousel,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Crêpe,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Cookies,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Brunch,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Breakfast,Other,other,,1.8,1.8,Watch,0,0.0,25.5,Insufficient zones
Dumplings,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Americain,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Australian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Aug Bh Uk,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Asian Fusion,Other,other,,1.8,1.8,Watch,0,0.0,14.3,Insufficient zones
Argentinian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Arabic,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
April Free Delivery Weekend,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Ann Summers Deliveroo Hop,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
All Day Breakfast,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Brazilian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Algerian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Alcohol Stores,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
African,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Afghan,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Accessorize,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Acai,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
7Mar Off,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Austrian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Autumn Meal Deals,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Bag Great Savings On Your Groceries,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Bagels,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Boba,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Bo Bun,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Black Friday,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Biryani,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
"Big Flavours, Small Prices",Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Big Brand Stores,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Bento,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Belgian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Beer,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Bbq,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Battlefield 6,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Bao,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Bangladeshi,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Bakery Shop,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Bakery,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Drinks,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Easter Groceries,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Like Rosa'S Thai? Why Not Try...,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Here To Deliver,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Ice Cream Stores,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Ice Cream And Dessert,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Ice Cream,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Household Goods,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Hot Dogs,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Hong Kongese,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Holiday Season,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Healthy Options,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Grocery Value Offers,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Healthy Eating Groceries,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Healthy Eating 2025,Other,other,,1.8,1.8,Watch,0,0.0,8.1,Insufficient zones
Health Conscious,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Healf Deliveroo Hop,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Hawaiian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Hardware & Maintenance,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Halloween Rx 2022,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
In-Store Prices – Selected Items,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Indonesian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
