region,cuisine,order_count,order_share,national_share,index_vs_national,regional_strength
South West,Only On Deliveroo,28,0.23,0.15,153.2,Strong
South West,Korean,23,0.19,0.81,23.1,Weak
South West,Gluten Free,21,0.17,0.22,78.9,Weak
South West,Street Food,21,0.17,0.04,388.2,Strong
South West,Coffee,20,0.16,0.44,36.7,Weak
South West,Jamaican,20,0.16,0.03,587.9,Strong
South West,New To Deliveroo,20,0.16,0.24,68.9,Weak
South West,Vegetarian,20,0.16,0.35,46.5,Weak
South West,Milkshakes,19,0.15,0.19,81.1,Moderate
South West,Restaurant Award Winners 2025,17,0.14,0.01,2541.3,Strong
South West,Sri Lankan,15,0.12,0.02,632.9,Strong
South West,Acai,13,0.11,0.08,141.1,Strong
South West,Cantonese,13,0.11,0.12,89.1,Moderate
South West,Caribbean,13,0.11,0.39,27.3,Weak
South West,Grill,13,0.11,0.16,67.5,Weak
South West,Nepalese,11,0.09,0.05,164.4,Strong
South West,Big Brand Stores,10,0.08,0.26,31.4,Weak
South West,Steak,8,0.07,0.07,92.2,Moderate
South West,Pakistani,7,0.06,0.05,121.7,Strong
South West,Bagels,6,0.05,0.36,13.6,Weak
South West,Cakes,6,0.05,0.09,52.1,Weak
South West,Great For Lunch,6,0.05,0.05,95.1,Moderate
South West,Neapolitan,5,0.04,0.03,142.2,Strong
South West,Coffee Week,4,0.03,0.0,4185.6,Strong
South West,Family Favourites,4,0.03,0.24,13.7,Weak
South West,Hawaiian,4,0.03,0.04,77.8,Weak
South West,Tacos,4,0.03,0.41,7.9,Weak
South West,Accessorize,2,0.02,0.01,135.9,Strong
South West,Bag Great Savings On Your Groceries,2,0.02,0.0,2092.8,Strong
South West,Nurofen And Nuromol,3,0.02,0.0,2242.3,Strong
South West,Shopping,3,0.02,0.24,10.4,Weak
South West,Spanish,3,0.02,0.02,148.1,Strong
South West,Turkish,3,0.02,1.1,2.2,Weak
South West,Vegan Friendly,2,0.02,0.74,2.2,Weak
South West,Cold & Flu,1,0.01,0.0,1046.4,Strong
South West,Consumer Electronics,1,0.01,0.0,1046.4,Strong
South West,Falafel,1,0.01,0.02,46.7,Weak
South West,Ice Cream,1,0.01,0.09,8.6,Weak
South West,In-Store Prices – Selected Items,1,0.01,0.07,11.0,Weak
South West,Juices,1,0.01,0.86,0.9,Weak
South West,Mediterranean,1,0.01,0.42,1.9,Weak
South West,Movie Night Snacks,1,0.01,0.0,1308.0,Strong
South West,Nurofen And Lemsip,1,0.01,0.0,5232.0,Strong
South West,Spicy Nuggets,1,0.01,0.07,12.4,Weak
South West,Sweet Treats,1,0.01,0.03,31.3,Weak
South West,Western,1,0.01,0.02,35.8,Weak
Wales,Vietnamese,471,12.73,4.06,313.3,Strong
Wales,Burgers,376,10.16,10.93,93.0,Moderate
Wales,Japanese,364,9.84,8.95,109.9,Moderate
Wales,American,335,9.05,5.66,160.0,Strong
Wales,Italian,321,8.67,8.85,98.0,Moderate
Wales,Chicken,283,7.65,5.91,129.3,Strong
Wales,Wings,160,4.32,2.01,214.8,Strong
Wales,Indian,143,3.86,6.88,56.2,Weak
