region,cuisine,order_count,order_share,national_share,index_vs_national,regional_strength
London,Movie Night Restaurants,83,0.04,0.09,43.1,Weak
London,Nepalese,88,0.04,0.05,74.6,Weak
London,Wine,83,0.04,0.03,141.6,Strong
London,Fast Food,66,0.03,0.02,148.4,Strong
London,Pakistani,74,0.03,0.05,73.0,Weak
London,Pancakes,73,0.03,0.03,113.5,Moderate
London,Plus April,68,0.03,0.01,288.4,Strong
London,Project Love - August,62,0.03,0.01,296.8,Strong
London,Soup,63,0.03,0.01,215.0,Strong
London,Spanish,57,0.03,0.02,159.6,Strong
London,Accessorize,34,0.02,0.01,131.1,Strong
London,Afghan,44,0.02,0.02,90.7,Moderate
London,Arabic,37,0.02,0.01,215.4,Strong
London,Deliveroo Editions,52,0.02,0.01,285.8,Strong
London,Egyptian,35,0.02,0.01,253.4,Strong
London,Falafel,42,0.02,0.02,111.3,Moderate
London,Filipino,46,0.02,0.01,189.6,Strong
London,Flowers,51,0.02,0.01,204.6,Strong
London,Jamaican,34,0.02,0.03,56.7,Weak
London,June Free Delivery Weekend,47,0.02,0.03,63.7,Weak
London,Local Gems,46,0.02,0.01,278.7,Strong
London,Pickup Deals,47,0.02,0.01,290.7,Strong
London,Project Love - December,53,0.02,0.01,296.8,Strong
London,Quick Service Restaurants,48,0.02,0.03,68.8,Weak
London,Western,41,0.02,0.02,83.4,Moderate
London,14 Days Free Delivery,12,0.01,0.0,187.5,Strong
London,Austrian,14,0.01,0.0,296.8,Strong
London,Bangladeshi,25,0.01,0.01,130.2,Strong
London,Beauty & Personal Care,11,0.01,0.0,296.8,Strong
London,Biryani,24,0.01,0.01,101.8,Moderate
London,Black Friday,15,0.01,0.01,103.5,Moderate
London,Chips,18,0.01,0.0,281.2,Strong
London,Cookies,31,0.01,0.02,88.5,Moderate
London,Crêpe,11,0.01,0.01,98.9,Moderate
London,Ethiopian,24,0.01,0.01,125.0,Strong
London,Florists,14,0.01,0.0,277.0,Strong
London,Gifting,15,0.01,0.01,92.8,Moderate
London,Great For Gifting,25,0.01,0.01,98.9,Moderate
London,Hardware & Maintenance,21,0.01,0.02,49.1,Weak
London,In-Store Prices – Selected Items,21,0.01,0.07,13.1,Weak
London,Indonesian,11,0.01,0.0,116.6,Moderate
London,Meat,23,0.01,0.1,10.6,Weak
London,Nfl Big Game Night,15,0.01,0.05,14.3,Weak
London,Nigerian,21,0.01,0.03,31.8,Weak
London,Organic,22,0.01,0.02,46.6,Weak
London,Our Picks,11,0.01,0.0,163.3,Strong
London,Perfect For Sharing,26,0.01,0.01,220.5,Strong
London,Peruvian,19,0.01,0.01,148.4,Strong
London,Pie,11,0.01,0.02,30.2,Weak
London,Plus Offers September,15,0.01,0.01,69.6,Weak
London,Protein Shops,17,0.01,0.0,296.8,Strong
London,Ramadan 2025,12,0.01,0.0,178.1,Strong
London,Snacks,17,0.01,0.0,186.9,Strong
London,Sri Lankan,14,0.01,0.02,33.5,Weak
London,"Stationary, Cards & Books",12,0.01,0.01,81.0,Moderate
London,Street Food,11,0.01,0.04,11.5,Weak
London,Supermarket,25,0.01,0.11,10.8,Weak
London,Tea,17,0.01,0.0,201.9,Strong
London,50% Off,3,0.0,0.0,222.6,Strong
London,Americain,3,0.0,0.0,148.4,Strong
London,Ann Summers Deliveroo Hop,10,0.0,0.0,247.4,Strong
London,Australian,5,0.0,0.0,296.8,Strong
London,Bakeries,2,0.0,0.0,197.9,Strong
London,Bao,2,0.0,0.03,2.9,Weak
London,Belgian,1,0.0,0.0,18.6,Weak
London,"Big Flavours, Small Prices",2,0.0,0.0,59.4,Weak
London,Catering,2,0.0,0.0,197.9,Strong
London,Comfort Food,7,0.0,0.03,11.3,Weak
London,Consumer Electronics,3,0.0,0.0,178.1,Strong
London,Cook From Home,10,0.0,0.0,197.9,Strong
London,Diy Stores,2,0.0,0.0,197.9,Strong
London,Doughnuts,10,0.0,0.0,106.0,Moderate
London,Fish,3,0.0,0.0,30.7,Weak
London,Fish Shop,3,0.0,0.0,222.6,Strong
London,French Tacos,4,0.0,0.0,54.0,Weak
London,Gelato,1,0.0,0.02,2.8,Weak
London,Georgian,5,0.0,0.01,40.1,Weak
London,Halloween Rx 2022,5,0.0,0.0,61.8,Weak
London,Healf Deliveroo Hop,3,0.0,0.0,296.8,Strong
London,Household Goods,2,0.0,0.0,18.6,Weak
London,Irish,1,0.0,0.1,0.4,Weak
London,Maplin Deliveroo Hop,3,0.0,0.0,127.2,Strong
London,Moon Festival,1,0.0,0.0,296.8,Strong
London,Moroccan,3,0.0,0.0,44.5,Weak
London,New To Roo,1,0.0,0.0,59.4,Weak
London,Odg Cross Partner Offer Carousel Uk,10,0.0,0.0,269.9,Strong
London,Only On Deliveroo 2024,6,0.0,0.0,296.8,Strong
London,Personal Care,9,0.0,0.0,178.1,Strong
London,Pet Food,7,0.0,0.0,103.9,Moderate
London,Pharmacy,8,0.0,0.01,69.8,Weak
London,Plus March 2025,3,0.0,0.0,148.4,Strong
London,Plus Member Offers,1,0.0,0.03,1.7,Weak
London,Poké,2,0.0,0.0,25.8,Weak
London,Polish,1,0.0,0.01,4.4,Weak
London,Pork,3,0.0,0.0,296.8,Strong
London,Romanian,7,0.0,0.01,34.6,Weak
London,Shopping-Popular-Brands,9,0.0,0.0,98.9,Moderate
London,Smash Burger,5,0.0,0.0,123.7,Strong
London,Takeaways,8,0.0,0.01,49.5,Weak
London,Tapas,10,0.0,0.01,51.2,Weak
London,Travel Ready,3,0.0,0.0,296.8,Strong
London,Unilever Esports,4,0.0,0.01,16.0,Weak
London,£10 Off Groceries And Shopping,4,0.0,0.0,84.8,Moderate
Midlands,Japanese,1368,12.76,8.95,142.7,Strong
Midlands,Burgers,1066,9.94,10.93,91.0,Moderate
Midlands,American,986,9.2,5.66,162.6,Strong
Midlands,Italian,972,9.07,8.85,102.4,Moderate
Midlands,Vietnamese,760,7.09,4.06,174.5,Strong
Midlands,Chicken,613,5.72,5.91,96.7,Moderate
Midlands,Wings,584,5.45,2.01,270.7,Strong
Midlands,Asian,514,4.8,3.42,140.4,Strong
Midlands,Indian,499,4.66,6.88,67.7,Weak
Midlands,Chinese,361,3.37,3.81,88.4,Moderate
Midlands,Thai,320,2.99,2.53,117.8,Moderate
Midlands,Korean,267,2.49,0.81,306.3,Strong
Midlands,Portuguese,237,2.21,3.09,71.5,Weak
Midlands,Halal,181,1.69,1.36,124.1,Strong
Midlands,Café,134,1.25,1.21,103.5,Moderate
Midlands,German,131,1.22,0.87,140.9,Strong
Midlands,Dessert,127,1.18,1.03,114.8,Moderate
Midlands,British,111,1.04,2.84,36.4,Weak
Midlands,Wraps,88,0.82,0.14,578.8,Strong
Midlands,Bubble Tea,84,0.78,0.43,182.6,Strong
Midlands,Coffee,84,0.78,0.44,176.3,Strong
Midlands,Greek,81,0.76,0.92,82.4,Moderate
Midlands,Stir Fry,80,0.75,0.18,415.3,Strong
Midlands,Burritos,76,0.71,0.42,166.9,Strong
Midlands,Noodles,59,0.55,0.27,200.8,Strong
Midlands,Healthy,57,0.53,3.26,16.3,Weak
Midlands,Tacos,55,0.51,0.41,124.0,Strong
Midlands,Vegan,54,0.5,0.11,447.7,Strong
Midlands,Middle Eastern,52,0.49,1.07,45.5,Weak
Midlands,Lebanese,46,0.43,0.81,53.1,Weak
Midlands,Nachos,45,0.42,0.44,94.8,Moderate
Midlands,Brunch,38,0.35,0.23,156.3,Strong
Midlands,Grill,35,0.33,0.16,207.8,Strong
Midlands,Caribbean,33,0.31,0.39,79.3,Weak
Midlands,Roast,31,0.29,0.01,5622.9,Strong
Midlands,Cookies,29,0.27,0.02,1669.1,Strong
Midlands,Juices,28,0.26,0.86,30.3,Weak
Midlands,Turkish,28,0.26,1.1,23.8,Weak
Midlands,Nigerian,25,0.23,0.03,763.5,Strong
Midlands,Poke,25,0.23,0.14,164.3,Strong
Midlands,Sandwiches,24,0.22,1.12,20.0,Weak
Midlands,Jamaican,18,0.17,0.03,605.3,Strong
Midlands,Mexican,17,0.16,0.5,31.9,Weak
Midlands,Shopping,17,0.16,0.24,67.3,Weak
Midlands,Donuts,16,0.15,0.04,421.9,Strong
Midlands,Breakfast,15,0.14,0.96,14.6,Weak
Midlands,Gluten Free,15,0.14,0.22,64.5,Weak
Midlands,Bakery,14,0.13,1.37,9.5,Weak
Midlands,New To Deliveroo,14,0.13,0.24,55.2,Weak
Midlands,Vegan Friendly,14,0.13,0.74,17.6,Weak
Midlands,Milkshakes,12,0.11,0.19,58.6,Weak
Midlands,Waffles,12,0.11,0.2,55.4,Weak
Midlands,Meal Deals,11,0.1,0.44,23.5,Weak
Midlands,Seafood,11,0.1,0.07,154.2,Strong
Midlands,Nfl Big Game Night,10,0.09,0.05,192.5,Strong
Midlands,African,9,0.08,0.11,78.3,Weak
Midlands,Cakes,9,0.08,0.09,89.3,Moderate
Midlands,Pie,9,0.08,0.02,498.8,Strong
Midlands,Vegetarian,9,0.08,0.35,23.9,Weak
Midlands,Biryani,7,0.07,0.01,598.6,Strong
Midlands,Just A Bite Away,8,0.07,0.02,377.0,Strong
Midlands,Peruvian,7,0.07,0.01,1102.6,Strong
Midlands,Tapas,7,0.07,0.01,722.4,Strong
Midlands,Family Favourites,6,0.06,0.24,23.5,Weak
Midlands,Hawaiian,6,0.06,0.04,133.5,Strong
Midlands,Only On Deliveroo,5,0.05,0.15,31.3,Weak
Midlands,Steak,5,0.05,0.07,65.9,Weak
Midlands,Brazilian,4,0.04,0.05,71.9,Weak
Midlands,Drinks,4,0.04,0.28,13.2,Weak
Midlands,Great For Lunch,4,0.04,0.05,72.6,Weak
Midlands,Plus Offers Nov 2024,4,0.04,0.0,4788.5,Strong
Midlands,Sri Lankan,4,0.04,0.02,193.1,Strong
Midlands,Halloween Rx 2022,3,0.03,0.0,748.2,Strong
Midlands,Movie Night Restaurants,3,0.03,0.09,31.4,Weak
Midlands,Movie Night Snacks,3,0.03,0.0,4489.2,Strong
Midlands,Western,3,0.03,0.02,123.0,Strong
Midlands,14 Days Free Delivery,2,0.02,0.0,630.1,Strong
Midlands,Accessorize,2,0.02,0.01,155.5,Strong
Midlands,Bbq,2,0.02,0.06,29.4,Weak
Midlands,Egyptian,2,0.02,0.01,292.0,Strong
Midlands,Gyros,2,0.02,0.14,13.7,Weak
Midlands,Bagels,1,0.01,0.36,2.6,Weak
