zone,zone_code,region,city,large_city,partners,cuisines_count,total_dishes,asian_dishes,italian_dishes,indian_dishes,healthy_dishes,mexican_dishes,middle_eastern_dishes,british_dishes,orders,avg_rating,cuisines_available,essential_cuisine_coverage,missing_essential_cuisines,missing_recommended_cuisines,dish_coverage,is_mvp,mvp_criteria_met,recruitment_priority
Cheltenham Racecourse,CHRC,South England and Wales,Cheltenham,South West and Wales,5,2,21,12,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,False,2,High
Rusholme,RUS,North England,Manchester,North West England,5,3,17,10,4,0,0,3,0,0,0,,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,1,High
Cabra,CBRA,Ireland and Scotland,Dublin,Greater Dublin,5,4,22,12,4,5,0,0,1,0,0,,"['Japanese/Asian', 'Italian', 'Indian', 'Middle Eastern']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,2,Medium
Southampton West,SOUW,South England and Wales,Southampton,South West and Wales,5,5,29,6,13,0,0,6,3,1,0,,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,True,3,Low
Cheshunt,CHU,Greater London,London,Commuter Belt North,4,3,16,4,9,0,0,3,0,0,0,,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",76%,False,0,High
Greenbank / Liberton,GBL,Ireland and Scotland,Edinburgh,Scotland,4,2,17,13,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,0,High
Hounslow Central,HCN,Greater London,London,OL South,4,4,12,4,4,1,0,3,0,0,0,,"['Japanese/Asian', 'Italian', 'Indian', 'Mexican']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",57%,False,0,Medium
Elmers End/ Kelsey Park,ELME,Greater London,London,OL South,4,2,17,13,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,0,High
Downham/ Hither Green,DOWN,Greater London,London,OL South,4,2,17,13,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,0,High
Feltham,FLT,Greater London,London,OL South,4,3,14,7,4,0,0,3,0,0,0,,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",67%,False,0,High
Kearsley,KEA,North England,Manchester,North West England,4,5,24,6,8,0,0,6,3,1,0,,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,False,2,Medium
Peckham North,PECN,Core London,London,CL Grow,4,4,16,7,0,3,3,0,3,0,0,,"['Japanese/Asian', 'Indian', 'Healthy/Fresh', 'Middle Eastern']",40%,"['Vietnamese', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Chinese']",76%,False,0,Medium
Severn Beach,SVB,South England and Wales,Bristol,South West and Wales,4,3,21,11,4,0,0,6,0,0,0,,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,False,1,High
Sale,SLE,North England,Manchester,North West England,4,5,24,6,8,0,0,6,3,1,0,,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,False,2,Medium
Potters Bar,POT,Greater London,London,Commuter Belt North,4,3,16,4,9,3,0,0,0,0,0,,"['Japanese/Asian', 'Italian', 'Indian']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",76%,False,0,High
PO04,PO04,South England and Wales,Portsmouth,South West and Wales,4,4,21,9,8,0,0,0,3,1,0,,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,1,Medium
Holbeck and Armley,HBAM,North England,Leeds,North East and Yorkshire,4,5,27,13,4,0,0,6,3,1,0,,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,False,2,Medium
Witham,WTH,South England and Wales,Chelmsford,South East England,4,4,23,6,13,0,0,0,3,1,0,,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,1,Medium
Craigentinny,CGT,Ireland and Scotland,Edinburgh,Scotland,4,1,20,20,0,0,0,0,0,0,0,,['Japanese/Asian'],20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",95%,False,0,High
Arbourthorne,ABT,North England,Sheffield,North East and Yorkshire,4,2,18,9,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",86%,False,0,High
Leith,LTH,Ireland and Scotland,Edinburgh,Scotland,4,1,20,20,0,0,0,0,0,0,0,,['Japanese/Asian'],20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",95%,False,0,High
Dorking,DOR,Greater London,Crawley,Commuter Belt South,4,4,22,14,4,0,0,0,3,1,0,,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,1,Medium
Wilford,WFD,North England,Nottingham,Midlands,4,3,17,7,4,0,0,6,0,0,0,,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,0,High
Bishop's Cleeve,BCLV,South England and Wales,Cheltenham,South West and Wales,4,2,18,9,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",86%,False,0,High
Leeds East,LDE,North England,Leeds,North East and Yorkshire,4,4,24,2,18,0,0,0,3,1,0,,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,1,Medium
Fettes,FET,Ireland and Scotland,Edinburgh,Scotland,4,1,20,20,0,0,0,0,0,0,0,,['Japanese/Asian'],20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",95%,False,0,High
Edinburgh Southwest,EDSW,Ireland and Scotland,Edinburgh,Scotland,4,2,17,13,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,0,High
Bognor Regis,BOR,South England and Wales,Portsmouth,South East England,4,4,21,9,8,0,0,0,3,1,0,,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,1,Medium
Netherthorpe,NTT,North England,Sheffield,North East and Yorkshire,4,2,18,9,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",86%,False,0,High
Pilton / Corstorphine Hill,PCH,Ireland and Scotland,Edinburgh,Scotland,4,2,17,13,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,0,High
Ashtead,ASHD,Greater London,London,Commuter Belt South,4,2,16,7,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",76%,False,0,High
Rickmansworth and Croxley Green,RKCO,Greater London,London,Commuter Belt North,4,3,17,7,4,0,0,6,0,0,0,,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,0,High
Finglas,FING,Ireland and Scotland,Dublin,Greater Dublin,4,4,21,11,4,5,0,0,1,0,0,,"['Japanese/Asian', 'Italian', 'Indian', 'Middle Eastern']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,1,Medium
Dublin Central South West,DCSW,Ireland and Scotland,Dublin,Greater Dublin,4,4,19,11,4,3,0,0,1,0,0,,"['Japanese/Asian', 'Italian', 'Indian', 'Middle Eastern']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Chinese']",90%,False,0,Medium
Ascot and Sunninghill,ASSU,Greater London,Camberley,Commuter Belt South,4,3,17,7,4,0,0,6,0,0,0,,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,0,High
Ash and Tongham,ASHT,Greater London,Camberley,Commuter Belt South,4,4,22,5,13,0,0,0,3,1,0,,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,1,Medium
Danbury,DNB,South England and Wales,Chelmsford,South East England,4,4,21,9,8,0,0,0,3,1,0,,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,1,Medium
Bournebridge/ Havering,BOHV,Greater London,London,Commuter Belt North,3,2,14,10,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",67%,False,0,High
Waverley,WVR,Greater London,Camberley,Commuter Belt South,3,4,17,5,8,0,0,0,3,1,0,,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",81%,False,0,Medium
RH01,RH01,Greater London,Crawley,Commuter Belt South,3,4,17,5,8,0,0,0,3,1,0,,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",81%,False,0,Medium
Ottershaw,OTT,Greater London,London,Commuter Belt South,3,1,14,14,0,0,0,0,0,0,0,,['Japanese/Asian'],20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",67%,False,0,High
Eltham Palace,ELTP,Greater London,London,OL South,3,2,11,7,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",52%,False,0,High
East Sheffield,ESHE,North England,Sheffield,North East and Yorkshire,3,2,14,5,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",67%,False,0,High
RG05,RG05,Greater London,Reading,Commuter Belt South,3,2,12,8,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",57%,False,0,High
Drayton & Farlington,DRAY,South England and Wales,Portsmouth,South West and Wales,3,2,12,3,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",57%,False,0,High
Leixlip,LEIX,Ireland and Scotland,Dublin,Greater Dublin,3,2,19,15,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",90%,False,0,High
Ponders End and Brimsdown,PDB,Greater London,London,Commuter Belt North,3,2,11,6,5,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",52%,False,0,High
Bootle/ Anfield,BOO,North England,Liverpool,North West England,3,2,14,9,5,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",67%,False,0,High
Bournville / Stirchley,BVS,North England,Birmingham,Midlands,3,2,12,8,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",57%,False,0,High
Tollerton,TLR,North England,Nottingham,Midlands,3,2,11,7,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",52%,False,0,High
Wisewood,WWD,North England,Sheffield,North East and Yorkshire,3,2,13,9,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",62%,False,0,High
Newport Pagnell,NWPA,South England and Wales,Milton Keynes,South East England,3,2,13,4,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",62%,False,0,High
Outer Glasgow,OGLC,Ireland and Scotland,Glasgow,Scotland,3,2,12,7,5,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",57%,False,0,High
Foxrock,FXR,Ireland and Scotland,Dublin,Greater Dublin,3,3,13,4,4,5,0,0,0,0,0,,"['Japanese/Asian', 'Italian', 'Indian']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",62%,False,0,High
Chessington,CHSS,Greater London,London,Commuter Belt South,3,2,11,7,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",52%,False,0,High
CB03,CB03,South England and Wales,Cambridge,South East England,3,3,13,3,4,0,0,6,0,0,0,,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",62%,False,0,High
Stoke Poges,STP,Greater London,London,Commuter Belt North,3,2,9,5,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",43%,False,0,High
Outer Glasgow West,OGGW,Ireland and Scotland,Glasgow,Scotland,3,2,13,4,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",62%,False,0,High
Frimley and Frimley Green,FRL,Greater London,Camberley,Commuter Belt South,3,2,13,4,9,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",62%,False,0,High
Bishopsworth,BSW,South England and Wales,Bristol,South West and Wales,3,2,15,0,9,0,0,6,0,0,0,,"['Italian', 'Mexican']",20%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",71%,False,0,High
Cotgrave Park,CTP,North England,Nottingham,Midlands,3,2,11,7,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",52%,False,0,High
Coolock,COOL,Ireland and Scotland,Dublin,Greater Dublin,2,2,15,11,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",71%,False,0,Medium
Horsforth,HOS,North England,Leeds,North East and Yorkshire,2,2,7,3,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",33%,False,0,Medium
SG03,SG03,Greater London,London,Commuter Belt North,2,1,9,0,9,0,0,0,0,0,0,,['Italian'],20%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",43%,False,0,Medium
Northfield/Longbridge,NLB,North England,Birmingham,Midlands,2,2,9,5,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",43%,False,0,Medium
Cheadle,CHEA,North England,Manchester,North West England,2,2,8,4,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",38%,False,0,Medium
Tallaght,TAL,Ireland and Scotland,Dublin,Greater Dublin,2,2,15,11,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",71%,False,0,Medium
Inch and Liberton,ILB,Ireland and Scotland,Edinburgh,Scotland,2,2,8,4,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",38%,False,0,Medium
Neepsend,NPS,North England,Sheffield,North East and Yorkshire,2,1,9,0,9,0,0,0,0,0,0,,['Italian'],20%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",43%,False,0,Medium
Luton,LUT,Greater London,London,Commuter Belt North,2,2,7,3,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",33%,False,0,Medium
Charlcombe,CHRL,South England and Wales,Bath,South West and Wales,2,2,9,3,0,0,0,6,0,0,0,,"['Japanese/Asian', 'Mexican']",20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",43%,False,0,Medium
Woolwich Dockyard and Charlton Park,WDC,Greater London,London,OL South,2,1,6,6,0,0,0,0,0,0,0,,['Japanese/Asian'],20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",29%,False,0,Medium
Manchester East,ME,North England,Manchester,North West England,2,2,7,4,0,0,0,3,0,0,0,,"['Japanese/Asian', 'Mexican']",20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",33%,False,0,Medium
Otford,OTF,Greater London,Royal Tunbridge Wells,Commuter Belt South,2,1,6,6,0,0,0,0,0,0,0,,['Japanese/Asian'],20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",29%,False,0,Medium
Royal Arsenal,RYA,Greater London,London,OL South,2,2,6,2,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",29%,False,0,Medium
Chinbrook Meadows,CHIN,Greater London,London,OL South,2,2,6,2,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",29%,False,0,Medium
CV01,CV01,North England,Coventry,Midlands,2,2,7,3,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",33%,False,0,Medium
Hadlow and Tudeley,HDT,Greater London,Royal Tunbridge Wells,Commuter Belt South,2,2,6,2,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",29%,False,0,Medium
Eastleigh,ESL,South England and Wales,Southampton,South West and Wales,2,2,8,3,5,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",38%,False,0,Medium
North Paisley,NPL,Ireland and Scotland,Glasgow,Scotland,2,1,9,0,9,0,0,0,0,0,0,,['Italian'],20%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",43%,False,0,Medium
Rutherglen,RTH,Ireland and Scotland,Glasgow,Scotland,2,2,10,4,0,0,0,6,0,0,0,,"['Japanese/Asian', 'Mexican']",20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",48%,False,0,Medium
Drighlington and Adwalton,DRGH,North England,Leeds,North East and Yorkshire,2,2,10,4,0,0,0,6,0,0,0,,"['Japanese/Asian', 'Mexican']",20%,"['Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",48%,False,0,Medium
SO3,SO3,South England and Wales,Southampton,South West and Wales,2,2,7,3,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",33%,False,0,Medium
Kingswinford,KSF,North England,Birmingham,Midlands,2,2,9,4,5,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",43%,False,0,Medium
West Oxford,WOXF,South England and Wales,Oxford,South East England,2,2,7,3,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",33%,False,0,Medium
Outer Bournemouth,OBOU,South England and Wales,Bournemouth,South West and Wales,2,2,7,3,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",33%,False,0,Medium
Biggin Hill,BIG,Greater London,London,Commuter Belt South,2,2,6,2,4,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",29%,False,0,Medium
Fairwater,FRW,South England and Wales,Cardiff,South West and Wales,2,2,10,0,4,0,0,6,0,0,0,,"['Italian', 'Mexican']",20%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",48%,False,0,Medium
Hedge End,HND,South England and Wales,Southampton,South West and Wales,2,2,8,3,5,0,0,0,0,0,0,,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",38%,False,0,Medium
Clydebank,CLBM,Ireland and Scotland,Glasgow,Scotland,2,1,9,0,9,0,0,0,0,0,0,,['Italian'],20%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",43%,False,0,Medium
