BRAND,ITEM_NAME,cuisine,dish_type,ITEM_DESCRIPTION
Asia Villa,4x Traditional Chow Mein with Sweet Chili Chicken,Chinese,Chinese,Stir-fried noodles packed with crisp veggies in delicious sauce. Served with tender chicken glazed in sweet chili (low spice). To serve a family of 4.
Asia Villa,4x Traditional Chow Mein with Sweet Chili Chicken,Chinese,Chinese,Stir-fried noodles packed with crisp veggies in delicious sauce. Served with tender chicken glazed in sweet chili (low spice). To serve a family of 4
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Thai/Southeast Asian,Asian Noodles & Rice,"Four bold bowls of our signature Firecracker Chicken – spicy, savoury, and packed with Southeast Asian flavour. Perfect for the family who like a little spice"
