dish_type,cuisine,on_dinneroo,mapped_cuisine,non_dinneroo_orders,gap_signal,dinneroo_available_in_cuisine,latent_mentions,wishlist_pct,gap_type,gap_score,order_volume,avg_rating,kids_happy,kids_score,rating_score,open_text_requests,og_wishlist_pct,latent_demand_score,orders_per_zone_SCORE,rating_SCORE,kids_happy_SCORE,non_dinneroo_SCORE,latent_raw,latent_demand_SCORE
Salad,Healthy/Fresh,True,healthy,1594.0,Available,Yes,20,0.0,No Gap,2,1089.0,4.47,0.75,,4.0,20,0.0,2,4.0,5.0,3.0,2.0,20.0,4.0
Pho,Vietnamese,True,vietnamese,4702.0,Available,Yes,18,0.0,No Gap,2,4530.0,4.54,0.84,4.0,5.0,18,0.0,2,5.0,5.0,5.0,4.0,18.0,4.0
Ramen,Japanese,True,japanese,8361.0,High,No,3,8.91,No Gap,2,223.0,3.76,0.75,,3.0,3,8.91,2,4.0,1.0,3.0,4.0,20.82,5.0
Tikka Masala,Indian,True,indian,8699.0,High,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,5.0,0.0,2.0
Teriyaki,Japanese,True,japanese,8361.0,High,No,0,0.0,No Gap,2,394.0,4.0,0.75,,4.0,0,0.0,1,4.0,2.0,3.0,4.0,0.0,2.0
Pasta,Italian,True,italian,11440.0,High,No,29,1.24,No Gap,2,1340.0,4.28,0.82,4.0,4.0,29,1.24,2,5.0,4.0,5.0,5.0,31.48,5.0
Korma,Indian,False,indian,8699.0,High,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,5.0,0.0,2.0
Cottage Pie,British,False,british,3087.0,Medium,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0
Mac & Cheese,Global,True,,25.0,Medium,Yes,0,0.0,No Gap,2,1307.0,4.51,0.81,4.0,5.0,0,0.0,1,5.0,5.0,5.0,1.0,0.0,2.0
Burger,American,True,american,8140.0,High,No,18,8.17,No Gap,2,0.0,4.0,0.75,,,18,8.17,2,2.0,2.0,3.0,4.0,34.34,5.0
Wrap,Global,True,,25.0,Medium,Yes,2,0.0,No Gap,2,0.0,4.0,0.75,,,2,0.0,1,2.0,2.0,3.0,1.0,2.0,3.0
Stir Fry,Global,True,,25.0,Medium,Yes,0,0.0,No Gap,2,61.0,4.4,0.0,3.0,4.0,0,0.0,1,3.0,4.0,1.0,1.0,0.0,2.0
Bibimbap,Korean,False,korean,1807.0,Low,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0
Souvlaki,Greek,False,greek,1890.0,Low,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0
Bangers & Mash,British,False,british,3087.0,Medium,No,0,6.19,No Gap,2,0.0,4.0,0.75,,,0,6.19,1,2.0,2.0,3.0,3.0,12.38,4.0
