cuisine,non_dinneroo_orders,unique_customers,avg_order_value,dinneroo_available,gap_signal,filter_applied,filter_rationale
GCP-REFRESH-Fastest-delivery,3,2,39.91,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Fresh Food,3,3,43.41,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Yoghurt,3,2,18.3,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Discovery Wines & Spirits,3,3,33.56,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
New Flavours,3,2,15.18,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Tea,3,2,16.5,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Chocolate,3,3,109.82,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Chips,3,2,19.98,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Austrian,3,3,48.12,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Australian,3,1,27.79,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Pharmacy,3,3,180.97,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Joe & The Juice,2,1,58.28,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Cold & Flu,2,2,25.44,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Egg-cellent Easter Deals,2,2,14.74,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
shopping-popular-brands,2,2,45.32,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Florists,2,2,100.6,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Ann Summers Deliveroo HOP,2,2,50.74,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Americain,2,2,27.77,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
£10 off groceries and shopping,2,2,31.07,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Jacket Potato,2,2,15.3,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Cook From Home,2,2,26.52,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Local gems,2,2,23.34,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Katsu,2,2,15.48,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
New to Roo,2,2,26.96,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
North England Exclusives,2,2,31.65,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Nurofen and Nuromol,2,2,16.6,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Perfect for sharing,2,2,42.26,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Smash Burger,2,2,28.96,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Lunch for Less,2,2,14.18,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Bakery Shop,1,1,23.98,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Churros,1,1,23.92,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
ODG Cross Partner Offer Carousel UK,1,1,42.07,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Boba,1,1,13.34,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Battlefield 6,1,1,10.37,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Autumn Meal Deals,1,1,34.49,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Bag great savings on your groceries,1,1,35.53,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
New on Roo,1,1,67.19,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Only on Deliveroo 2024,1,1,63.59,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Organic stores,1,1,3.54,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Personal care,1,1,10.17,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Sheffield Free Delivery,1,1,39.99,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Pet Food,1,1,67.74,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Algerian,1,1,18.02,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Service Guarantee,1,1,213.45,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
DIY Stores,1,1,24.1,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Movie Night Snacks,1,1,17.29,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Late Night Delivery,1,1,59.87,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Healf Deliveroo HOP,1,1,31.39,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
50% off,1,1,4.55,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Tibetan,1,1,61.74,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Ice cream stores,1,1,20.96,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Tunisian,1,1,19.08,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Ice cream and dessert,1,1,16.69,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Local offers (UK),1,1,15.94,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Love Local Takeaway,1,1,109.3,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Holiday Season,1,1,38.13,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Grocery Value Offers,1,1,55.59,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Moon Festival,1,1,60.99,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Manaqeesh,1,1,64.05,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Maplin Deliveroo HOP,1,1,28.78,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
French Tacos,1,1,17.54,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Meal Card (FR),1,1,94.98,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Fish Shop,1,1,34.4,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Festive Gifting,1,1,26.5,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Electricals,1,1,15.28,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Medicine,1,1,2.6,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Rice,1,1,41.24,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
